FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,DONATION,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,WORK_LIFE_BALANCE_SCORE,DAILY_STRESS,ACHIEVEMENT
4,9,6,9,3,1,7,7.706939840690718,5,8,7,1,1,2,2,8,9,3,728.6885172908509,0,5
5,10,10,4,8,3,7,3.6237430848640093,6,10,7,0,0,2,10,4,8,1,754.3078494139969,0,4
5,10,10,10,2,5,7,3.42618425299424,5,0,8,0,1,2,8,4,10,3,735.3270197644463,0,2
3,2,9,10,4,5,6,2.922123966624669,5,10,6,0,1,2,10,7,6,4,734.8819471065491,0,3
4,7,10,9,5,3,6,7.674239255661305,9,3,6,0,1,2,10,6,10,2,761.2208315906137,0,9
2,5,2,4,4,1,9,1.0,5,6,7,0,0,2,7,3,8,4,681.3346733601016,0,3
5,8,10,10,10,5,9,8.25358140285056,4,10,8,2,0,2,10,8,10,3,775.6240325692046,0,10
0,10,6,5,10,1,3,5.126157855656405,6,5,6,2,1,2,5,6,8,2,701.6646227353701,0,3
3,10,3,10,4,5,7,1.9489672719214512,6,4,7,0,1,1,10,2,10,4,713.9422670125265,0,5
1,1,2,3,2,1,9,1.0,8,5,7,0,1,2,3,4,8,2,670.8609936593348,0,3
3,1,5,8,3,2,9,1.0,7,1,8,0,0,2,10,1,10,3,700.5399915955303,0,5
1,2,5,3,5,2,1,1.0,2,1,6,1,0,2,3,2,3,2,629.1093208429343,0,3
3,1,7,2,1,0,9,3.459618997588592,1,0,8,0,1,2,0,1,3,3,641.2540381002411,0,1
3,3,8,8,10,3,5,5.0,8,6,7,10,1,2,5,4,6,2,702.1654484949248,0,8
3,9,4,4,2,1,2,2.0,8,0,8,0,0,1,3,4,10,2,664.3196161000428,0,3
5,10,6,10,5,3,4,9.221539056616423,7,10,8,0,0,2,4,9,10,2,767.0095398302178,0,8
2,3,9,3,10,0,6,1.228875462483499,6,4,8,0,2,2,7,3,8,2,698.7179637487054,0,4
3,3,1,2,3,1,3,1.2094443693367216,4,2,6,0,0,2,7,0,4,4,642.5759074399541,0,0
4,5,6,4,10,4,8,1.856364196227903,10,10,7,0,0,2,8,1,8,2,734.492273147171,0,1
3,3,5,10,10,4,2,1.9291395200154628,3,1,6,0,1,2,4,4,10,1,709.1732464640495,0,5
5,5,2,8,5,4,4,2.3419052781054903,10,7,8,0,6,1,4,6,6,3,702.0503799715996,0,7
2,2,3,3,6,3,2,1.527677466221695,3,3,6,1,1,1,5,2,4,3,631.1051743716424,0,4
5,8,10,10,10,5,10,10.0,9,6,7,4,0,2,9,9,10,1,777.3327994884269,0,10
4,7,4,4,4,2,8,6.013106671503349,3,6,7,0,1,2,3,4,7,1,709.7890777737472,0,5
3,9,5,8,3,3,2,2.9811179078679357,2,1,9,8,3,1,9,9,8,2,675.8679755316754,0,10
2,3,6,5,10,2,3,7.546562507952132,6,4,7,0,2,1,7,8,9,2,712.4360312476143,0,5
4,4,9,10,10,3,7,2.6088281193549467,3,9,7,0,0,1,9,7,10,3,738.0501523372582,0,7
2,7,3,9,4,4,9,9.4302003225674,6,10,6,0,1,2,8,5,7,3,735.3848998387164,0,7
4,1,10,10,6,3,7,7.965791095197341,4,3,5,10,0,1,7,9,8,3,690.9049480818868,0,8
5,5,10,10,10,4,6,6.0,8,10,7,0,0,2,10,9,10,3,773.3879692063233,0,9
5,8,7,10,7,4,10,7.0,3,10,7,0,1,2,5,10,10,3,763.9819057370211,0,5
4,1,4,7,6,5,8,2.6747863021674103,6,0,5,0,1,2,10,0,9,4,706.4333761611136,0,5
5,10,10,10,2,5,5,3.3550632277673693,9,0,8,0,0,2,5,2,10,4,732.3674051583489,0,2
1,7,10,9,10,1,6,7.626877381577616,5,10,9,4,0,1,6,4,8,1,725.0895651197354,0,6
5,7,9,10,7,5,8,2.0583080133419696,7,1,7,0,1,2,4,2,10,3,732.3017527546373,0,2
5,9,9,10,4,5,9,2.8326429677632188,6,8,8,0,3,2,3,1,10,3,729.669013909605,0,4
2,3,8,8,8,1,8,1.9992811075688788,4,5,7,0,0,2,3,6,10,2,702.9974119872479,0,1
5,10,10,7,10,5,9,10.0,10,9,9,5,9,1,10,9,9,2,767.8873204445534,0,9
1,1,6,5,4,5,4,1.6057283882163815,1,2,7,0,1,2,6,2,8,3,678.7211456776433,0,3
3,10,6,3,5,3,6,4.351361043231185,3,4,7,0,2,2,3,5,5,2,692.7297277913538,0,3
5,7,10,10,10,5,8,8.898847146192558,6,10,7,2,0,2,10,8,10,3,776.9061453967763,0,10
3,10,9,4,9,2,10,5.531380293940134,5,9,6,0,0,2,7,9,9,2,729.0002779604056,0,1
2,8,6,7,6,1,7,3.2718806536534215,5,3,7,0,0,2,5,5,7,2,686.8732775751253,0,3
2,3,6,8,8,3,4,5.400697883860563,8,0,7,5,0,1,5,2,7,2,672.9418144980375,0,0
2,5,5,3,10,4,6,1.8206439897107591,5,0,7,0,2,2,9,2,7,3,695.1456816370413,0,2
3,8,4,9,5,4,8,9.410278291141127,6,9,6,0,0,2,7,3,7,4,736.5153321012613,0,6
3,10,7,8,2,5,6,1.0,3,0,8,0,0,2,10,0,7,4,698.7903452074397,0,8
2,3,5,6,10,0,8,3.9967182251905413,5,2,5,0,1,2,3,5,6,1,685.7963900477097,0,5
5,8,4,4,5,1,8,6.162632920229849,4,5,8,0,0,2,3,4,6,1,710.3366886367585,0,4
5,8,10,10,10,5,10,10.0,9,6,7,4,0,2,9,9,10,1,777.2867012714346,0,10
1,2,3,9,5,2,2,1.0,7,4,7,3,3,1,4,2,6,2,646.005743460399,0,5
4,1,5,8,3,3,9,1.0,7,1,8,0,0,2,10,1,10,3,701.3722308628622,0,3
4,7,5,3,3,2,6,1.390302574847384,6,1,8,0,1,1,2,3,9,3,680.9709077245421,0,3
3,10,5,2,5,1,7,3.300360430377878,6,4,9,0,0,2,4,5,6,1,692.3102523012645,0,5
5,7,9,10,7,5,7,8.0,9,9,8,0,0,2,8,7,10,2,787.1924944524784,0,8
4,0,10,10,5,4,7,9.014054674122502,2,3,5,10,0,1,8,9,9,3,691.3661840566139,0,7
2,8,4,5,8,0,0,2.0781597061423507,5,1,9,0,2,2,3,2,5,2,667.8179323085506,0,3
3,8,7,8,10,4,10,10.0,7,8,7,0,1,1,10,7,10,1,763.9529752870993,0,10
1,7,10,10,10,5,8,5.511504367340095,6,7,5,7,0,1,10,8,7,2,747.2493807837036,0,10
2,6,3,6,5,3,8,1.8037743997814601,4,4,6,0,0,2,6,2,7,3,683.0832082398142,0,4
4,3,1,2,8,3,3,2.0,4,4,7,0,1,2,10,1,5,3,665.5229528342753,0,0
5,10,6,5,10,3,8,3.0,5,10,7,0,0,1,2,2,7,2,709.0734322958995,0,2
4,9,7,8,3,4,7,3.0,8,2,6,2,0,2,10,1,7,2,721.4864400778431,0,2
2,2,6,3,9,0,7,2.157384975574049,3,3,7,10,1,2,3,1,9,1,656.9472154926722,0,1
2,2,4,3,2,3,2,0.5831908042770976,4,4,6,0,0,2,5,0,7,4,644.4741020669458,0,1
2,7,8,6,10,1,3,6.18568036101622,8,6,6,8,3,2,6,8,6,2,704.7335561624574,0,5
1,3,7,8,4,0,5,4.29015067824598,3,3,7,0,6,2,2,5,8,1,672.603371923491,0,3
2,0,4,6,2,1,5,0.15596805593312246,7,2,7,0,1,2,2,1,10,2,663.0259946759888,0,2
2,7,7,8,6,1,7,3.9682562346270114,5,2,8,0,0,2,6,4,5,2,686.3269893396421,0,2
3,4,3,3,8,0,5,2.5766648558468024,5,2,6,0,1,1,1,1,5,1,632.2963346009072,0,2
4,9,0,10,9,5,10,2.830869243805524,1,0,6,0,0,2,10,2,10,4,721.3651095795348,0,10
5,10,10,10,10,5,10,8.820540866620417,7,10,7,0,0,2,9,10,10,3,796.3598561710664,0,10
2,0,9,2,2,4,3,4.0,2,2,7,8,1,2,3,2,7,2,643.6713295729296,0,0
4,7,10,4,8,4,3,1.819596284368945,9,3,8,0,0,2,4,1,6,2,701.3034662889695,0,2
1,2,5,4,10,1,8,3.704772949338838,2,4,6,10,2,2,3,3,7,2,655.9112316893835,0,1
0,1,8,5,9,4,7,0.211231831472931,4,0,8,0,3,2,1,0,5,2,651.1114858280151,0,1
4,7,4,3,2,2,6,2.411009505923384,8,5,8,0,3,2,1,4,8,1,690.8740063372823,0,1
1,4,2,0,5,0,7,4.6834393881207514,2,0,7,0,0,2,4,3,9,2,665.8897982281532,0,3
5,10,10,10,10,5,10,7.589960754858876,4,10,8,0,0,2,8,10,10,4,795.5439372077742,0,10
1,7,10,5,5,5,4,3.0,5,3,6,0,10,2,5,2,5,2,675.3536243458101,0,4
1,7,7,8,10,0,7,2.426960902145754,3,2,7,0,0,2,9,6,9,2,697.6719117293562,0,2
3,5,5,2,8,2,5,2.605280624705859,9,5,6,0,0,2,9,2,10,3,711.2315510004706,0,0
4,3,10,9,10,3,7,5.991713699710808,5,7,8,1,1,2,10,5,7,1,737.6024858900868,0,9
3,3,4,1,1,0,7,3.9399479893412144,3,1,7,0,1,2,9,3,3,3,651.5219323861436,0,3
1,6,5,3,3,0,3,1.7947317315818638,5,1,6,0,0,1,2,2,10,3,647.0539512013136,0,2
4,10,10,3,5,1,6,2.622630533598658,8,4,8,0,0,2,6,4,7,2,722.7245842786468,0,6
2,7,3,3,4,0,6,2.0,4,1,8,0,0,1,5,2,9,2,660.7239556427517,0,0
3,7,10,10,8,5,3,2.4650095175264277,4,0,8,0,1,2,10,3,10,3,735.4189676404102,0,7
3,4,8,7,8,0,6,2.4578362082858787,6,4,6,0,2,1,2,7,8,1,673.9489922403142,0,4
5,10,10,4,9,0,7,3.1247881371965542,10,10,8,0,1,2,10,2,10,1,751.8689724559437,0,5
3,1,5,8,6,4,6,7.335279050078296,6,8,6,3,0,2,9,8,10,3,721.702334860094,0,6
3,5,7,0,8,5,9,6.664917311243951,7,6,7,0,4,2,9,0,3,2,695.0597900773492,0,2
1,0,2,4,2,4,3,1.9753431334790705,1,8,6,0,0,1,5,8,10,2,651.0693186074391,0,3
3,10,10,9,10,5,5,5.915130463640816,9,4,6,4,1,1,10,6,9,1,748.9875269403611,0,10
3,5,8,6,9,1,3,3.737262893770147,8,5,7,1,4,2,7,8,8,3,714.1391409311342,0,4
2,10,6,8,5,5,8,1.0,5,0,8,0,1,2,3,4,9,4,699.8945408934376,0,2
2,2,10,10,10,0,6,9.914896513880215,10,10,8,5,2,2,10,6,8,1,737.3319444415782,0,3
2,3,3,5,6,3,1,1.0,3,4,7,0,0,2,2,3,5,2,664.3092949264174,0,2
1,5,6,8,7,0,3,1.8579302219119957,2,4,9,0,0,1,0,8,3,2,645.4273116449408,0,2
4,8,6,9,10,4,7,2.053965507750143,2,5,7,0,0,1,9,7,9,1,736.49511034217,0,7
3,5,5,3,6,3,5,2.7706342229623275,9,5,6,0,0,2,9,2,10,4,711.4715899527432,0,0
4,2,3,7,7,5,8,2.5308927889524213,6,0,5,0,1,2,10,0,8,4,707.0233395652951,0,5
2,10,10,2,2,1,2,0.8056865023609278,2,1,7,0,0,1,10,1,6,2,667.0650854382126,0,0
5,10,5,2,2,0,6,1.899021893182239,5,1,8,0,0,2,1,1,9,2,682.4768700581832,0,2
1,10,1,0,0,5,8,8.660071287247138,3,1,4,0,9,2,6,3,10,4,683.2246635642128,0,10
2,5,5,7,9,0,5,2.852724436447909,5,4,8,10,1,2,4,7,9,3,689.3790866546719,0,2
4,10,7,9,4,5,3,1.0538464041754034,4,0,7,0,2,1,5,0,3,4,674.2273073543631,0,1
1,5,6,7,7,0,2,0.4814149861630528,4,1,6,0,0,1,0,7,8,1,643.7573442368549,0,0
2,1,5,0,5,0,0,0.0,4,0,9,9,0,1,0,0,0,1,577.7709853187425,0,0
0,1,3,2,2,0,4,1.0,2,0,8,0,3,1,4,1,1,2,595.1573235188097,0,0
5,10,10,10,10,5,10,10.0,10,10,7,0,0,2,10,10,10,1,815.871099884841,0,10
5,7,5,8,10,5,9,7.798293197209187,10,6,7,0,0,2,10,6,10,2,782.5429015647444,0,10
0,4,4,0,10,0,8,4.347492163917707,2,1,7,0,1,1,2,0,8,2,639.6553996836592,0,1
5,5,4,2,4,4,6,4.1018498788839555,10,1,7,0,1,2,3,5,10,3,708.0820965294018,0,2
2,5,6,3,7,2,7,3.5349880155843376,6,0,6,10,1,2,8,1,6,3,657.3604964046752,0,1
5,8,10,5,5,5,4,1.8703210217757646,5,9,6,0,0,2,3,1,6,3,698.1020048324951,0,1
2,10,6,10,2,5,7,6.204758572882638,6,1,7,0,3,2,10,3,10,4,717.5795241427118,0,5
5,9,9,10,6,5,8,2.421278993895551,3,7,6,0,6,2,8,1,8,4,716.7014912202691,0,5
2,4,8,7,6,3,8,3.0219826244371912,5,8,5,0,1,2,4,3,10,3,701.6915803076954,0,1
1,4,6,7,6,1,4,2.0625648422194516,1,5,9,0,1,1,1,8,3,2,644.8558933677931,0,3
5,7,2,2,2,1,3,2.0,8,3,8,0,0,1,2,2,10,2,664.2630784526278,0,1
5,4,8,10,8,4,8,9.190976359708323,4,2,6,0,0,2,8,2,10,4,750.0281212762625,0,10
4,7,5,10,3,3,7,3.0,6,4,7,0,0,2,10,1,10,2,724.3289189249016,0,2
2,2,5,6,3,2,7,5.2867742673873925,10,8,6,8,0,2,4,6,9,4,688.5685290293045,0,2
2,5,5,2,9,5,6,2.6767053907092997,5,0,7,0,2,2,9,1,6,3,694.5812046468851,0,2
5,9,6,10,5,2,7,3.1549253111434425,9,5,8,0,0,1,10,9,10,2,750.0380298755426,0,9
4,9,3,9,4,0,0,0.1654736712363798,8,1,4,0,9,2,2,3,10,4,645.5241052534273,0,0
4,10,6,10,10,5,10,3.4536139852400325,8,5,8,0,2,2,6,9,7,2,756.702049232472,0,4
1,0,6,6,3,3,7,6.092741466164391,10,9,5,7,0,2,3,7,9,3,690.9495980413561,0,1
0,2,4,2,3,1,2,1.0,2,0,6,5,3,1,1,3,6,1,610.0367910233515,0,1
1,9,1,9,9,4,7,2.5885853285495743,6,5,6,0,1,2,1,5,10,1,714.5114146714504,0,2
5,10,3,1,9,2,9,4.725703023694514,10,2,9,0,2,1,10,10,7,1,748.9782930345986,0,10
1,10,10,9,10,4,2,3.580699084554285,4,4,6,0,2,1,5,1,10,2,698.693510640812,0,4
4,1,1,0,3,2,5,1.5055087603898638,4,1,7,1,2,1,3,0,7,3,620.4461438677271,0,0
5,3,0,2,1,1,9,6.7118424279736,10,6,9,0,2,2,4,6,10,1,709.6135527283922,0,3
2,3,5,6,5,5,5,2.247996971057965,2,3,8,0,0,2,6,2,6,3,682.0319916704094,0,4
5,10,6,9,5,2,7,3.0,9,4,8,0,0,1,9,8,10,2,749.5800832060646,0,9
2,10,7,10,9,3,9,3.9756686370880248,7,10,7,3,0,2,10,5,10,2,750.1903881608656,0,7
1,3,3,2,3,2,9,1.0,9,5,4,0,1,2,3,4,7,2,674.919588853813,0,2
3,4,2,1,4,0,8,1.8383362288544922,3,1,7,0,0,2,3,2,10,3,668.0480381196533,0,4
2,10,4,3,4,2,9,1.9193904041284608,5,3,6,2,2,2,10,1,9,1,697.4241828787615,0,4
2,7,4,4,4,1,7,2.0,9,6,7,10,0,2,5,2,9,3,687.9895248447415,0,4
4,5,8,4,8,1,8,2.0,9,3,7,0,2,2,8,1,9,3,722.4259276549034,0,6
3,5,4,5,8,2,10,5.0,3,2,8,0,0,2,2,4,7,2,705.2953538223449,0,7
1,2,2,3,2,1,8,2.624705727605686,5,3,8,0,0,2,4,5,10,3,667.7584314241313,0,3
2,0,7,2,5,1,5,2.4500121525982372,3,2,4,5,1,1,7,5,5,1,652.6600340272751,0,5
3,7,4,4,10,2,2,3.574287575090211,4,0,9,0,7,2,7,1,4,3,664.4377202402886,0,1
0,10,4,5,8,2,4,3.667212337194181,7,6,5,0,0,2,6,3,10,3,699.7996725976835,0,3
4,9,4,2,5,0,6,3.2229507143482437,8,4,8,0,0,2,4,5,7,1,691.3865577140856,0,5
4,3,3,2,1,3,2,2.8622029736581887,1,1,8,0,0,1,2,3,9,4,633.485831673757,0,2
4,8,10,7,8,5,7,6.0,10,2,7,0,1,2,8,5,10,1,761.3291867549162,0,5
5,10,8,9,7,5,4,6.923954589272194,6,10,7,2,2,2,7,6,10,3,761.7788978258625,0,6
5,10,9,10,10,5,8,4.4796757646824,8,0,7,0,0,2,10,1,10,3,750.9601621176588,0,2
2,7,3,3,4,0,6,2.0,4,1,8,0,0,1,5,2,9,2,660.7094939821314,0,0
4,9,8,6,9,5,6,5.889519311043763,6,4,9,0,1,2,8,6,10,1,764.8883845511649,0,8
1,7,10,10,10,3,6,8.0,8,10,8,7,1,1,8,6,10,1,729.2083431505162,0,8
1,5,4,3,2,0,5,1.3903330344373008,4,3,7,0,0,2,6,0,6,2,657.9754671449003,0,2
4,7,2,8,7,5,7,1.5106074625934114,4,2,5,0,1,1,10,2,8,4,711.2554486571076,0,5
1,0,1,2,3,0,2,0.7416414518360422,3,0,6,1,1,1,2,0,2,3,576.537995454603,0,0
5,6,2,2,2,2,2,1.5074309292467025,10,1,7,0,0,1,2,1,8,2,664.0403397919792,0,0
3,3,2,4,2,2,4,4.0,2,8,7,0,1,2,8,1,6,4,672.6920478417159,0,4
4,5,7,5,5,2,8,5.161769578918199,2,3,8,0,0,2,8,2,7,1,711.0573456316226,0,3
1,7,8,7,10,2,8,2.0,7,1,6,0,3,2,10,2,5,3,692.7119305813882,0,2
2,2,4,1,5,4,3,1.8597946748116456,7,1,7,0,2,1,10,1,9,2,666.4383490528203,0,2
2,3,2,0,3,0,7,2.7795855971448296,3,0,8,0,0,2,4,3,10,2,663.3252955151462,0,4
3,3,2,1,6,4,8,7.343533788643321,10,10,8,8,0,2,10,10,4,1,715.5159925593064,0,5
1,3,4,9,8,5,5,3.0,3,1,6,0,0,2,3,3,4,2,682.8441767957593,0,4
4,8,3,2,2,1,2,2.0,9,2,8,0,0,1,3,2,10,2,663.7088189537227,0,1
3,0,3,2,1,0,2,1.2520040557279886,4,0,9,0,0,1,4,9,6,1,638.0817884411751,0,2
5,10,10,4,8,4,7,3.8035807841279827,5,10,7,0,0,2,10,4,7,1,754.9732489012736,0,4
4,5,8,8,10,5,9,3.951444825663092,9,4,7,0,0,2,9,2,7,3,732.7057793026523,0,3
3,2,0,0,3,0,4,1.5264748821440721,9,0,8,0,1,2,9,0,10,2,663.7930407901196,0,3
1,6,4,4,7,1,5,4.135454635862109,6,3,7,5,2,1,4,3,7,2,657.8962269698619,0,8
2,8,5,1,4,1,2,1.1586289333238757,8,1,6,0,2,2,4,2,3,2,659.0461937066818,0,3
4,10,10,10,10,5,9,6.02075107589951,6,10,7,0,0,2,8,10,10,3,796.8522725254312,0,10
2,6,4,10,10,3,8,1.6447452485768186,7,10,5,1,1,2,10,5,10,3,729.0934874637569,0,1
1,0,2,4,3,4,4,2.0,2,8,6,0,0,1,5,7,9,3,651.7286014693345,0,2
1,8,4,3,3,0,5,1.552662267776748,2,1,7,0,1,2,6,1,4,2,660.2579868033303,0,3
1,2,6,1,8,1,5,4.977386041975177,5,10,7,10,3,2,4,1,10,1,674.9372173255247,0,4
2,3,8,3,10,0,6,1.338332740370811,6,4,8,0,2,2,7,3,8,2,699.0134983990012,0,4
4,9,5,9,3,2,4,3.1412235433731492,2,0,7,0,0,2,4,10,10,2,695.6164093936148,0,5
2,0,2,0,3,0,3,0.0,8,10,7,0,2,1,1,0,10,2,624.3252645010368,0,0
5,10,9,10,9,5,8,4.370540710766647,5,4,7,0,1,2,10,7,10,2,769.777905533075,0,7
3,9,10,3,5,2,3,1.7213569368849635,10,0,7,0,0,2,8,1,5,3,701.8820354053274,0,3
3,7,4,9,6,1,7,4.781290199676417,3,5,7,0,1,2,9,3,2,3,685.7749678402589,0,2
4,4,9,10,10,3,7,2.6343244402623656,3,9,7,0,0,1,9,7,10,3,738.0794731063017,0,7
2,2,1,4,7,4,0,3.348578096878666,5,3,6,2,6,1,3,3,7,3,640.3705804307862,0,1
5,8,10,10,10,5,7,10.0,10,8,8,0,0,2,8,5,10,4,785.9428584864678,0,2
5,9,6,9,7,4,7,5.145752436271101,7,5,7,0,0,2,3,9,10,1,749.0667961019662,0,9
5,10,9,10,7,5,3,7.9699265253451905,3,10,8,0,1,2,5,8,10,3,764.1879706101381,0,6
2,6,8,8,6,4,5,2.5712604699370973,6,10,8,0,1,1,4,3,8,2,706.8857479060125,0,2
0,2,3,5,3,2,4,1.8569988773342736,5,1,7,8,2,1,4,0,4,3,600.6565957338703,0,1
4,5,8,10,10,3,7,2.2509035132408375,2,8,7,0,0,1,9,7,10,3,737.638539040227,0,7
5,10,10,7,10,1,10,10.0,10,10,9,6,2,2,10,10,10,1,787.3965983950224,0,10
2,1,6,8,5,1,6,5.530437085211718,8,8,6,8,0,2,3,8,9,3,688.9041298015668,0,2
2,0,0,0,1,2,3,1.9129827816972114,1,3,6,0,3,1,3,5,9,2,610.991717084459,0,5
5,7,9,10,10,3,8,5.113569821856376,5,7,8,0,1,2,10,6,10,2,770.5578913307636,0,7
4,6,10,10,10,4,9,4.154879148503965,10,3,7,0,0,2,2,6,10,2,751.8942703821575,0,4
0,0,1,0,1,0,0,0.0,3,0,6,2,2,1,1,0,7,2,563.0899338588682,0,0
1,9,4,9,9,2,5,1.700492560521413,4,1,6,0,2,2,3,2,10,2,705.9022906617785,0,10
4,0,1,1,1,1,6,1.0,2,6,6,7,0,1,4,8,10,2,645.0491879974724,0,5
5,0,2,1,1,1,9,1.6615127903069413,1,0,8,7,1,2,4,8,10,4,644.3363700381475,0,4
5,7,5,8,10,5,9,7.781792465447828,10,6,7,0,0,2,10,6,10,2,782.5709528087388,0,10
1,6,4,3,2,0,5,1.125928226694815,3,3,7,0,0,2,7,0,5,2,658.9777846800845,0,2
4,10,4,10,10,5,10,6.50066209451954,8,5,7,0,0,2,9,4,9,2,750.5988082298649,0,3
4,10,5,3,5,2,8,5.052989386072045,9,10,8,0,3,2,7,5,9,4,743.9576084911423,0,6
0,0,4,0,0,0,1,0.0,1,0,7,9,5,1,0,0,9,2,549.387977609992,0,0
4,9,8,10,5,5,8,4.612007102376553,5,2,8,0,0,2,5,2,7,4,719.5535843747716,0,5
4,10,6,3,2,4,6,1.7925948132091347,3,4,8,0,3,1,10,2,10,3,700.5533413275529,0,4
3,7,3,2,5,0,2,2.372671064909322,4,1,7,0,0,1,1,1,6,3,633.6310552312358,0,1
3,8,8,7,6,3,7,2.750265763938842,7,5,6,0,0,2,5,1,3,2,716.623378839973,0,4
5,8,7,10,10,3,9,8.304097134848984,10,6,6,0,0,2,9,8,8,2,774.0473748427281,0,8
3,7,4,6,2,1,8,6.541676405412424,2,8,9,0,0,1,3,6,8,2,707.0374503323966,0,6
5,10,4,3,5,3,2,3.9463418379536574,10,8,5,0,2,2,4,4,3,2,712.6443913300657,0,7
4,2,9,10,4,5,6,3.187553052514033,5,9,6,0,1,2,10,8,6,4,735.5126167155308,0,4
3,2,7,9,7,3,8,4.0,9,2,8,4,2,1,8,7,6,1,711.7402913396504,0,3
3,5,10,10,9,5,4,2.9207396503426355,4,0,8,0,2,2,10,2,10,3,733.869485188835,0,9
4,10,5,6,3,2,7,1.080118238101389,6,1,8,0,0,1,2,3,8,2,698.4001477976267,0,2
2,2,2,3,6,3,2,1.7085390865062062,3,3,6,1,1,1,5,2,5,3,631.7924485287235,0,4
2,4,7,7,6,4,9,3.7924590637942965,6,10,5,0,0,1,6,4,8,4,702.218885378624,0,2
5,6,8,3,10,5,8,9.523706692668608,10,8,9,0,0,2,10,9,10,2,780.066810630264,0,10
2,3,2,2,3,1,9,1.366261792482499,5,7,8,0,1,2,6,3,7,3,679.5816869103759,0,2
3,1,2,2,2,1,8,3.1277237830628395,4,5,7,0,0,2,5,4,8,4,680.0787378511892,0,3
3,8,5,10,10,3,5,8.0,8,10,8,10,1,2,7,8,7,2,746.6763448138935,0,8
4,2,8,8,10,3,5,1.0,1,6,6,0,1,2,10,2,10,3,703.0296117988748,0,5
4,5,7,10,5,5,6,2.1544922040049257,3,2,7,0,0,2,10,3,7,4,725.2862305100123,0,4
1,4,4,3,3,0,6,2.025469291799898,4,2,7,0,1,2,4,0,6,2,656.9592491331201,0,2
5,6,3,10,6,4,7,4.57001478587894,9,7,7,0,0,2,10,4,10,3,752.7210783651584,0,5
5,4,4,6,4,5,9,7.6123572378133755,10,7,7,0,0,2,4,7,10,3,744.1410073042828,0,3
3,10,6,10,10,5,10,3.0017691869982457,7,9,7,2,0,2,10,3,10,3,747.8008403638241,0,6
4,4,2,8,10,5,6,2.0,3,1,5,0,1,2,8,2,7,3,709.2461102211836,0,5
2,3,4,9,3,1,5,3.0,3,2,8,0,0,1,3,3,9,2,674.6946642575436,0,3
1,3,10,4,8,0,7,5.482659156822141,1,4,3,0,1,2,5,6,6,1,687.5516379359125,0,10
0,0,9,3,10,0,9,1.1707083633124802,3,2,8,7,3,1,8,8,8,1,650.0168794154936,0,4
5,6,5,1,7,0,10,9.847681568455199,4,1,8,0,0,2,6,6,10,2,721.7700664785107,0,6
3,4,8,9,5,3,7,2.591103255071454,5,10,8,0,1,2,3,2,7,2,706.0639858591286,0,3
3,10,7,9,4,3,8,1.0,7,1,8,0,1,2,4,2,8,2,698.2850700458971,0,3
4,3,7,10,10,4,3,1.51058075745956,2,3,6,0,1,2,6,4,10,1,706.6103103175195,0,4
2,0,1,0,10,0,3,0.6151291405411998,2,1,8,0,0,1,1,0,6,1,611.6082288048634,0,0
2,3,4,5,4,3,3,0.9106057172144217,4,0,7,0,0,2,2,1,5,3,660.4463634303287,0,1
4,8,10,4,6,3,3,1.4901459904495424,10,1,7,0,0,2,7,1,5,3,701.5352189856743,0,2
4,10,10,10,9,2,4,2.0,6,1,7,0,1,2,10,2,8,2,735.696683323973,0,5
2,8,5,4,8,0,0,2.1507290294689465,5,2,8,0,2,2,3,1,5,2,668.0507290294689,0,3
4,3,9,9,10,2,6,2.0698231053124476,7,4,6,2,0,2,7,3,5,3,714.9952653420313,0,3
1,2,5,3,10,3,8,1.551159961916372,3,1,8,0,1,2,5,1,4,2,672.9630280647422,0,2
3,8,6,3,5,1,8,6.685464160254966,10,5,7,7,3,2,4,9,9,2,716.0123642773503,0,5
1,0,3,2,2,1,0,1.1608196050197015,2,0,9,1,1,1,2,0,0,2,593.1040980250984,0,1
0,1,4,4,2,0,2,1.1606795847118452,1,1,5,10,2,1,1,5,9,1,605.732330242556,0,0
4,7,9,5,5,5,5,2.049943324234099,5,10,6,0,0,2,3,1,7,4,697.6250850136489,0,1
3,2,10,10,7,3,8,3.101922464139748,8,3,8,3,2,1,9,6,5,2,713.0614434413415,0,2
2,1,4,0,5,0,1,0.23747855675225749,4,0,9,8,0,1,1,0,1,1,578.322452824855,0,1
0,1,1,1,8,1,6,2.0496143733388372,2,1,6,8,0,2,2,3,3,1,624.1041901840116,0,2
0,2,2,2,3,0,6,1.0,2,1,8,0,5,1,5,2,3,2,595.4721880079334,0,1
5,10,10,10,10,5,10,10.0,10,10,10,10,1,2,10,10,7,4,781.669124299782,0,10
3,7,5,5,5,3,10,3.824958500023315,6,10,9,0,0,2,4,4,10,2,726.584925300042,0,2
1,5,8,4,10,0,6,1.8431492505006675,5,5,7,0,1,2,6,4,8,3,698.5215746252503,0,3
3,6,10,6,6,4,6,5.173496050355022,9,10,8,0,1,2,10,5,10,2,766.6062770920591,0,9
2,2,10,10,10,1,5,7.341739339564778,5,2,8,0,0,1,7,10,10,1,702.5063600512675,0,1
