,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
927,0,2,2,5,10,7,2,1,1,3,4.0,1,5,8,10,10,2,2,2,6,2,0,622.5
928,5,5,2,6,3,10,2,3,2,4,3.0,8,2,6,10,6,2,3,0,1,4,0,615.0
929,0,3,2,6,3,10,4,0,1,5,4.0,10,5,8,0,10,2,4,6,10,1,1,668.5
930,1,2,0,2,5,3,5,1,2,3,3.0,3,3,7,7,0,2,7,4,4,3,1,617.6
931,3,3,10,5,3,3,2,2,1,10,4.0,7,6,5,0,1,1,3,3,8,2,1,669.0
932,5,3,2,10,3,10,2,5,2,5,5.0,3,0,7,3,3,1,4,0,5,4,1,638.0
933,5,1,4,5,2,10,3,0,1,8,3.0,5,0,6,0,2,2,10,6,5,3,1,687.5
934,4,2,3,10,10,6,2,5,1,5,2.0,3,1,7,2,4,1,10,4,5,2,1,675.4
935,4,1,3,9,7,3,1,3,1,3,2.0,7,2,6,0,1,2,3,3,9,3,1,681.1
936,3,4,2,5,2,3,2,4,2,7,4.0,8,1,9,8,7,2,6,0,7,2,1,627.5
937,2,2,5,10,5,10,6,4,2,8,4.0,10,5,7,0,3,2,10,2,10,4,0,712.5
938,3,3,7,6,7,8,4,1,1,8,5.0,8,3,7,0,1,2,5,2,4,3,0,691.7
939,5,1,10,10,8,3,6,0,1,8,4.0,4,10,8,0,0,2,10,6,10,2,0,742.1
940,2,4,8,4,8,10,2,3,1,5,3.0,9,3,6,2,2,1,5,4,10,2,1,674.7
941,4,1,10,7,7,3,1,5,1,7,1.0,2,5,7,0,1,2,10,3,10,4,1,712.6
942,5,1,3,9,5,5,3,3,2,5,6.0,6,3,7,0,0,2,6,7,5,4,0,689.6
943,5,3,10,2,4,7,1,5,2,5,2.0,1,0,8,5,0,2,10,0,10,3,1,663.3
944,4,1,3,10,4,10,3,3,1,3,2.0,4,5,8,0,4,2,4,6,10,2,1,699.6
945,3,3,6,5,7,4,5,3,1,8,4.0,6,10,8,0,1,2,2,1,3,4,1,689.8
946,4,2,3,9,10,10,8,2,1,8,4.0,2,8,8,7,2,2,7,4,10,4,0,716.2
947,1,1,5,2,2,2,2,1,1,4,1.0,8,0,9,0,1,2,2,1,7,2,0,642.8
948,2,1,5,4,10,5,2,1,2,10,2.0,2,3,8,0,0,2,5,2,6,4,0,661.8
949,1,1,3,10,9,6,0,2,2,0,2.0,2,0,6,10,1,1,0,1,7,2,0,595.1
950,5,2,10,10,5,10,10,5,1,8,10.0,2,4,8,0,10,2,10,3,10,2,0,743.4
951,2,2,4,7,2,10,5,1,2,3,3.0,3,2,7,4,0,2,6,4,5,4,1,646.5
952,4,3,4,8,6,1,0,0,1,7,1.0,10,0,6,6,5,2,4,1,10,2,0,647.7
953,3,1,3,4,10,10,4,2,2,9,4.0,6,10,7,0,0,2,10,4,5,3,0,706.6
954,1,1,4,10,10,8,7,1,2,6,2.0,10,1,6,4,0,1,4,10,8,2,0,673.2
955,5,3,2,2,1,6,1,0,1,8,1.0,3,1,8,0,3,1,5,2,7,2,1,628.0
956,3,3,1,7,7,7,2,3,2,4,4.0,6,1,6,10,1,1,2,4,3,3,1,612.9
957,3,0,5,3,5,2,2,1,1,5,5.0,5,10,8,0,7,2,5,2,10,3,0,679.4
958,3,3,6,7,0,4,1,0,1,7,0.0,5,1,7,0,1,1,10,1,10,2,0,645.2
959,5,2,10,10,10,10,5,5,1,10,5.0,10,10,7,0,6,2,10,4,10,4,1,770.3
960,2,1,10,6,8,6,6,1,1,8,2.0,4,1,7,10,4,1,6,1,5,2,0,648.4
961,4,3,3,3,10,10,3,1,1,7,3.0,5,1,6,0,3,2,3,3,3,2,1,667.1
962,5,3,3,8,2,2,2,4,1,1,0.0,3,0,6,3,4,2,1,2,1,3,1,624.2
963,3,4,8,3,5,10,5,2,1,7,3.0,6,5,7,4,4,1,5,2,4,2,1,655.6
964,2,2,6,2,3,3,5,0,2,8,5.0,1,6,8,5,8,2,0,1,0,2,1,605.5
965,4,3,3,7,6,7,6,2,2,6,4.0,5,4,8,0,6,2,3,4,5,2,1,662.4
966,3,3,5,2,3,8,3,1,2,7,3.0,6,10,6,8,3,2,6,2,2,2,1,638.4
967,3,3,5,8,4,10,3,0,1,3,4.0,6,0,5,0,0,1,4,1,7,2,1,648.4
969,3,1,2,9,4,10,3,0,1,1,3.0,5,0,5,0,0,1,5,1,7,2,1,646.5
970,4,2,10,10,10,10,10,5,1,5,2.0,10,5,6,3,2,2,10,2,6,3,1,742.9
971,4,2,10,10,10,10,0,1,2,2,5.0,4,4,7,0,1,1,6,2,10,1,1,673.9
972,2,3,10,6,8,5,6,4,2,5,3.0,7,2,7,3,9,2,3,2,4,2,1,652.4
973,2,4,4,9,2,9,5,0,2,8,3.0,1,1,6,10,8,1,4,3,2,3,1,588.1
974,5,1,4,10,5,10,0,0,1,9,3.0,3,5,8,0,2,2,0,1,7,3,1,684.1
975,1,4,3,2,10,4,0,2,1,1,3.0,5,1,8,6,0,1,4,2,10,2,0,623.3
977,3,3,10,3,5,9,3,1,1,5,1.0,10,5,7,5,3,2,10,1,4,2,1,678.5
978,3,2,3,4,7,8,7,3,2,8,7.0,7,6,7,8,5,2,7,4,3,2,1,671.1
979,5,1,10,8,10,6,10,4,2,9,8.0,8,5,7,2,1,2,10,8,10,2,0,754.6
980,4,3,10,8,10,10,7,3,2,7,6.0,9,2,7,0,1,2,10,5,9,2,1,729.3
981,4,5,1,6,3,1,0,3,1,2,0.0,1,1,7,3,0,2,2,0,8,2,0,618.9
982,2,3,4,2,8,5,4,5,1,10,4.0,5,7,8,10,1,2,8,3,7,1,1,686.2
983,2,3,3,4,10,10,0,0,1,9,3.0,2,4,10,0,3,2,10,8,4,3,1,686.0
984,2,3,1,0,6,6,3,0,1,0,0.0,4,0,5,0,2,2,7,0,10,2,1,627.6
985,5,0,5,1,10,3,0,5,1,10,10.0,8,0,7,0,0,2,10,10,10,4,0,741.0
986,5,0,6,5,10,10,1,5,2,6,1.0,10,10,5,4,1,2,10,5,10,4,1,724.0
987,5,2,3,10,10,6,1,3,2,10,3.0,2,10,6,0,0,2,8,5,10,4,0,709.0
988,1,5,0,0,3,2,0,0,1,0,0.0,3,0,7,0,0,1,3,0,5,3,0,571.7
989,4,1,10,9,8,4,8,4,1,8,4.0,4,4,8,7,2,1,10,10,7,2,1,714.9
990,1,3,1,2,10,10,0,0,1,5,2.0,2,0,6,10,0,1,8,0,10,2,1,617.2
991,2,3,1,2,2,4,4,0,1,3,1.0,6,0,8,0,1,2,7,1,9,4,0,640.5
992,5,2,8,10,8,5,3,1,2,8,0.0,8,5,8,0,0,2,7,2,10,1,1,700.4
993,1,2,2,3,1,2,0,1,1,9,1.0,6,1,8,4,9,2,2,3,6,2,0,616.7
994,4,5,3,7,7,3,3,4,1,6,2.0,7,2,9,3,4,1,6,1,6,1,1,651.1
996,2,2,5,4,5,3,3,1,2,7,3.0,4,2,8,0,1,1,4,8,10,3,1,643.5
997,5,3,10,5,4,5,3,2,2,6,4.0,3,3,7,0,4,2,4,2,10,4,1,665.2
998,0,2,6,5,3,10,4,5,2,6,5.0,5,4,6,10,1,1,5,6,7,2,1,643.3
999,5,3,0,10,4,10,2,2,2,8,3.0,8,5,8,0,0,2,10,2,10,4,0,697.0
1000,3,1,6,6,4,5,7,5,1,5,10.0,2,9,5,0,0,2,7,8,10,2,1,729.2
1001,5,3,3,3,3,7,1,5,1,6,4.0,4,0,7,0,5,2,3,1,10,4,1,667.1
1002,2,2,10,8,8,10,3,0,2,0,3.0,1,1,7,2,5,2,2,1,4,3,1,632.5
1003,3,4,4,10,4,10,6,1,2,7,6.0,5,4,7,0,1,2,6,1,5,3,1,672.4
1004,2,5,1,2,1,2,0,1,1,4,0.0,1,0,5,0,10,1,1,0,1,3,1,552.2
1005,1,3,5,10,10,10,10,3,1,10,6.0,9,6,7,0,1,2,10,4,4,1,1,737.8
1007,1,3,8,10,10,10,10,3,1,10,6.0,9,6,7,0,1,2,10,5,5,1,1,746.3
1008,5,0,10,5,10,3,10,4,1,8,4.0,9,1,8,0,2,2,10,2,5,3,1,736.3
1009,4,3,7,3,1,7,0,2,1,3,2.0,4,3,7,0,2,2,0,3,2,1,1,641.6
1010,1,1,8,0,3,3,8,3,1,7,6.0,3,9,6,0,1,2,5,2,10,2,0,690.5
1012,2,5,4,6,10,10,0,3,1,7,5.0,8,3,7,0,2,2,3,10,10,2,0,701.9
1013,1,3,10,4,10,10,3,2,1,5,2.0,10,2,8,5,1,2,10,0,7,2,1,692.3
1014,1,3,7,10,10,10,10,3,1,10,7.0,8,6,7,1,1,2,10,4,6,1,1,742.7
1015,5,2,10,8,1,5,3,0,1,10,3.0,3,1,8,10,5,2,10,5,7,2,0,673.9
1016,4,3,3,10,10,4,3,3,2,7,2.0,7,4,9,0,1,2,5,1,5,4,1,678.3
1017,1,5,8,8,10,10,2,2,1,6,2.0,7,4,9,0,0,2,4,0,2,4,1,680.0
1018,3,1,10,5,10,3,5,3,2,4,2.0,4,2,8,10,1,2,10,2,10,4,1,672.4
1019,1,1,7,5,5,3,2,1,1,5,2.0,10,2,9,0,8,2,1,2,8,2,0,658.5
1020,1,3,1,2,5,10,6,0,2,3,0.0,3,0,6,10,7,2,2,0,1,3,0,576.6
1021,5,4,10,5,10,10,10,1,2,8,5.0,10,5,7,0,2,2,10,3,10,4,1,726.1
1023,1,4,6,4,10,4,4,0,1,7,1.0,10,4,9,0,0,2,10,10,10,2,0,706.1
1024,3,3,10,6,6,10,10,1,1,4,3.0,5,10,7,0,3,2,10,2,10,4,1,720.0
1025,3,1,8,3,7,10,3,0,1,5,8.0,10,5,7,7,3,2,4,9,10,3,1,705.7
1026,5,3,10,5,10,6,5,1,2,7,1.0,10,6,6,0,1,2,10,2,10,4,0,705.5
1027,4,3,3,6,6,5,4,2,1,5,6.0,2,2,7,0,3,2,5,6,7,4,1,676.9
1028,3,3,3,2,3,6,7,1,2,6,5.0,4,7,6,7,8,2,7,7,6,2,0,641.4
1029,2,2,4,4,3,3,2,1,2,2,3.0,4,3,6,2,3,2,3,2,2,2,1,610.8
1030,4,4,10,6,10,9,3,5,1,4,2.0,8,5,8,0,0,2,10,2,10,4,1,729.3
1031,5,3,10,6,3,6,3,2,1,9,1.0,3,5,7,2,4,2,4,1,3,2,1,670.3
1032,1,3,2,5,10,10,10,0,2,6,2.0,1,10,6,0,1,2,10,5,7,4,0,679.9
1033,1,3,10,4,4,4,3,0,1,2,2.0,1,10,8,10,3,2,3,5,5,2,1,637.8
1034,0,2,0,4,0,4,0,1,1,4,0.0,5,1,10,0,7,1,1,1,3,2,1,588.0
1035,5,2,10,10,10,10,10,3,1,8,8.0,10,10,8,0,1,1,10,5,10,1,0,768.8
1036,3,2,10,7,5,4,0,2,1,5,1.0,10,0,7,0,1,2,6,1,3,4,1,673.4
1037,2,3,3,4,3,10,3,1,2,4,2.0,5,5,6,0,4,2,10,1,3,2,1,639.9
1038,1,3,4,8,8,5,2,2,1,5,2.0,2,3,6,0,1,2,5,1,3,4,1,652.9
1039,1,0,10,2,0,0,10,5,1,8,10.0,3,1,4,0,10,2,6,4,10,4,0,681.6
1040,5,5,3,0,2,2,2,5,1,0,2.0,1,0,5,0,0,1,4,8,0,3,1,611.7
1041,4,3,4,7,8,9,7,3,2,6,3.0,6,5,8,6,0,2,4,4,9,4,1,686.4
1042,1,3,1,1,1,10,1,1,1,5,7.0,7,7,4,0,3,2,5,0,4,1,0,645.0
1043,1,3,5,8,2,5,1,0,1,3,3.0,2,0,6,7,1,1,2,1,1,2,0,591.7
1044,4,3,7,10,4,10,5,2,1,3,1.0,3,1,7,0,5,2,10,2,3,2,1,677.1
1045,2,3,4,4,4,7,7,2,2,7,3.0,8,1,7,3,1,1,8,1,3,3,0,635.6
1046,3,5,5,5,8,10,5,3,1,8,7.0,3,5,6,0,4,2,8,3,2,3,1,687.1
1047,1,5,3,1,3,6,0,1,1,0,3.0,5,0,8,0,2,1,2,1,8,3,1,601.2
1048,5,3,10,6,10,10,2,4,1,6,3.0,10,0,8,0,4,2,4,8,6,2,1,719.5
1049,3,1,10,10,5,10,5,3,1,8,8.0,5,5,7,0,1,2,8,1,7,2,1,730.2
1050,4,4,7,4,10,5,4,5,1,9,1.0,8,10,7,0,0,2,10,5,8,4,0,730.8
1051,3,2,7,3,5,3,4,0,2,7,1.0,2,1,7,6,3,2,10,6,2,4,0,632.7
1052,5,1,5,2,5,2,3,2,1,10,3.0,5,10,7,0,1,2,2,3,10,4,0,696.2
1053,2,3,9,5,10,8,4,2,2,3,1.0,4,1,6,0,2,1,5,5,10,2,1,649.9
1054,3,4,10,8,10,10,3,5,2,7,2.0,7,10,7,0,0,2,10,8,4,3,0,723.8
1055,5,2,10,10,10,10,1,5,1,5,5.0,7,5,7,1,1,2,10,7,10,2,0,752.7
1056,5,2,9,5,5,4,3,1,2,5,0.0,7,6,8,1,1,2,3,1,10,1,1,669.6
1057,5,1,5,2,10,7,9,5,1,9,5.0,10,10,8,0,0,2,10,8,10,4,0,770.5
1058,2,3,3,7,2,10,2,0,2,4,0.0,5,2,7,0,3,2,3,0,3,2,0,619.7
1059,2,3,1,7,3,10,2,1,1,8,4.0,10,7,7,0,3,2,10,5,10,3,1,702.3
1060,4,4,3,9,5,5,4,2,2,6,5.0,6,5,5,5,6,1,5,7,5,3,0,636.5
1061,4,3,10,10,10,10,10,5,2,9,3.0,2,10,8,0,6,2,10,10,10,3,1,746.8
1062,2,1,10,7,10,10,5,5,1,9,3.0,3,3,8,1,5,2,10,5,1,2,1,716.4
1063,5,2,10,10,2,3,5,0,2,10,2.0,7,5,7,0,4,2,2,5,10,4,1,683.0
1064,5,4,3,5,7,10,3,3,2,6,3.0,4,2,8,0,10,2,10,4,3,3,1,658.8
1065,5,3,5,5,5,10,3,2,2,7,3.0,3,10,8,0,1,2,10,9,4,4,1,697.7
1066,2,5,2,1,3,1,3,0,1,5,0.0,4,3,8,6,5,1,6,2,4,3,1,589.1
1067,2,2,5,3,4,10,5,2,2,6,4.0,10,1,7,0,1,1,7,6,5,2,1,659.8
1068,1,3,3,8,1,6,1,0,1,7,5.0,2,10,8,0,1,1,4,5,9,1,1,655.0
1069,1,4,0,1,10,10,3,0,2,0,1.0,4,0,7,10,1,1,4,0,10,3,0,585.5
1070,1,5,2,3,1,8,1,1,1,3,0.0,6,1,8,0,10,2,1,0,0,3,1,594.6
1071,4,4,5,10,7,7,9,3,2,5,7.0,8,9,7,4,4,2,10,10,10,4,0,720.6
1072,4,3,10,6,10,6,7,1,1,7,7.0,10,10,6,2,0,1,8,5,8,2,1,720.8
1073,3,1,7,5,5,3,7,3,1,7,5.0,4,5,6,0,2,2,7,6,8,4,0,704.3
1074,4,2,6,4,3,5,4,2,2,10,3.0,6,2,7,0,4,1,2,5,10,2,1,650.5
1075,2,3,2,3,4,2,5,0,1,6,2.0,4,10,6,0,0,1,8,3,5,3,0,644.8
1076,5,0,10,10,0,4,2,0,1,9,1.0,6,1,8,0,0,2,3,1,3,2,0,679.6
1077,4,2,10,4,10,10,5,1,2,10,5.0,8,6,7,4,3,2,6,7,7,2,1,707.0
1078,2,1,1,2,2,3,7,1,1,7,0.0,5,5,8,2,2,2,4,2,7,3,0,653.9
1079,5,5,2,3,0,5,1,1,1,6,0.0,10,0,7,3,10,2,5,0,10,1,1,629.2
1080,4,2,5,7,10,10,10,1,1,5,3.0,10,0,5,4,5,2,10,5,7,3,0,707.0
1081,4,5,8,3,5,10,7,5,1,8,5.0,8,10,6,0,1,2,10,7,10,4,1,740.8
1082,4,5,10,4,4,10,1,3,1,8,2.0,8,1,10,0,2,2,1,2,6,3,1,682.1
1083,5,2,10,10,10,10,10,5,2,7,3.0,9,10,6,0,1,2,10,8,7,3,1,759.7
1084,2,3,4,4,3,4,5,1,1,6,3.0,2,1,7,4,3,1,1,2,10,2,1,622.5
1085,2,3,4,3,4,4,3,2,1,6,3.0,2,1,7,5,0,1,2,2,10,2,1,627.6
1086,5,1,10,9,8,3,3,1,1,2,4.0,7,1,7,0,1,2,3,6,10,4,0,703.4
1087,5,5,6,2,10,10,7,5,1,5,4.0,5,0,7,10,10,1,10,8,6,4,1,665.6
1088,5,4,3,0,10,0,10,5,1,5,4.0,5,3,7,10,10,1,10,9,6,4,1,655.4
1089,4,3,8,6,4,10,4,2,1,8,6.0,2,6,7,0,4,2,4,6,2,2,1,690.5
1090,2,2,7,6,5,9,8,4,1,3,8.0,5,7,8,5,6,2,7,7,6,2,0,704.9
1091,5,3,10,8,10,10,9,5,1,10,2.0,9,7,8,0,2,2,10,5,10,1,1,768.6
1092,5,4,10,8,6,10,1,5,2,2,1.0,4,0,7,0,4,2,8,1,6,4,1,668.8
1093,3,2,4,6,5,5,3,1,1,4,3.0,6,1,7,0,1,1,3,7,7,3,1,655.6
1094,3,3,10,7,10,8,3,5,1,5,6.0,7,10,8,3,1,2,10,10,8,3,1,747.8
1095,5,4,3,5,7,10,3,3,2,6,3.0,4,2,8,0,10,2,10,4,3,3,1,658.8
1096,5,0,2,10,8,6,2,0,1,4,5.0,10,10,8,0,0,2,5,6,10,3,0,728.0
1097,3,3,1,3,10,9,3,5,2,5,10.0,5,2,7,1,0,2,8,8,2,3,1,686.0
1098,4,3,1,2,10,10,6,5,2,3,3.0,7,0,5,5,2,2,10,0,4,4,0,658.8
1099,3,4,10,6,7,4,5,0,1,7,2.0,6,5,6,10,5,2,10,2,8,2,1,667.3
1100,3,3,5,4,5,4,3,2,1,7,3.0,3,2,7,2,3,2,3,2,8,2,1,656.7
1101,1,5,5,6,3,6,10,3,1,6,5.0,3,8,7,6,1,1,10,2,5,1,1,660.1
1102,3,1,10,8,6,10,10,1,2,7,5.0,10,5,7,0,2,2,10,3,10,2,0,726.1
1103,2,2,3,5,3,2,4,1,1,5,2.0,2,4,8,7,10,2,5,1,3,2,1,617.6
1104,2,2,10,5,0,5,2,0,1,2,2.0,1,5,6,0,0,2,10,2,0,2,0,647.6
1105,5,2,6,3,1,3,1,1,1,9,1.0,4,3,8,0,1,2,4,2,7,2,1,663.9
1106,5,0,2,10,8,6,2,0,1,4,5.0,10,10,8,0,0,2,5,6,10,3,0,728.0
1107,1,0,0,3,1,1,0,0,1,0,0.0,1,0,9,0,0,1,10,0,10,2,0,609.1
1108,1,3,2,5,4,4,3,5,2,7,1.0,1,4,6,1,5,2,10,1,5,3,1,635.7
1109,3,1,5,8,10,10,4,5,2,6,1.0,1,10,5,0,3,2,5,8,10,4,1,705.2
1110,2,1,5,4,2,4,3,3,1,8,5.0,5,5,8,3,5,2,5,1,8,3,1,670.9
1111,3,1,2,4,1,4,2,1,1,5,4.0,2,1,8,0,2,2,4,4,7,2,1,651.6
1112,2,3,4,4,2,6,2,1,1,9,4.0,2,0,8,2,10,2,8,3,7,3,1,643.1
1113,3,1,1,2,0,2,1,0,1,0,0.0,1,0,9,0,2,1,1,1,10,2,0,597.2
1114,2,3,10,10,4,6,4,5,2,5,3.0,3,2,5,0,10,2,10,2,5,4,1,659.7
1115,2,5,6,4,2,4,3,1,1,3,0.0,7,3,10,10,3,2,5,1,1,2,1,619.0
1116,2,5,10,2,0,10,4,1,1,8,1.0,1,10,7,10,5,1,0,1,10,2,1,622.3
1117,3,2,10,8,6,8,3,3,1,8,1.0,10,4,10,0,3,2,5,8,7,1,0,723.3
1118,3,4,10,6,3,4,5,5,1,7,1.0,8,10,8,3,7,2,6,4,10,3,1,700.4
1119,3,2,10,6,6,10,3,3,1,8,2.0,10,4,10,0,4,2,5,8,7,1,0,723.3
1120,5,4,4,2,2,5,2,2,1,2,2.0,6,0,6,5,1,1,7,3,6,2,1,626.5
1121,3,5,1,0,6,5,2,3,1,2,0.0,3,3,9,5,5,1,2,2,4,2,1,599.3
1122,1,4,0,3,2,2,1,4,1,2,0.0,5,3,4,5,10,2,3,1,7,2,1,597.0
1123,3,1,10,6,6,6,9,0,1,8,3.0,9,1,7,10,4,2,3,4,7,2,1,681.7
1124,5,5,10,6,10,10,3,5,1,3,2.0,10,1,8,0,1,2,4,1,3,3,1,700.8
1125,2,2,2,3,3,5,5,2,2,8,8.0,2,5,7,2,0,2,6,10,3,2,0,663.3
1126,4,0,6,10,8,10,10,5,1,10,10.0,10,9,8,7,8,2,8,9,10,3,0,770.5
1127,3,1,10,6,6,8,3,3,1,8,2.0,10,4,10,0,2,2,6,8,7,1,0,728.4
1128,5,4,9,5,2,8,2,5,2,3,1.0,5,2,6,10,9,2,10,1,10,4,0,643.3
1129,5,2,3,6,3,9,10,4,1,8,3.0,8,0,9,0,1,1,10,2,8,1,1,704.0
1130,2,5,3,3,3,3,1,1,1,3,1.0,7,3,10,10,2,2,5,0,2,2,1,612.2
1131,5,5,7,3,3,2,2,5,2,8,2.0,1,10,5,0,9,2,0,1,3,3,1,627.0
1132,2,3,2,3,2,3,1,4,2,2,1.0,2,1,8,2,0,2,2,0,4,3,0,605.7
1133,5,4,1,2,2,1,1,2,2,2,1.0,2,1,6,6,7,1,3,2,2,4,0,561.1
1134,3,3,7,9,5,2,4,3,1,5,2.0,9,2,9,1,1,1,4,3,7,2,1,670.2
1135,0,5,2,10,10,5,8,5,2,4,1.0,8,0,7,7,7,1,9,10,3,3,1,637.3
1136,1,5,1,4,4,3,3,1,1,6,0.0,4,1,7,10,10,2,6,0,2,3,0,588.9
1137,5,1,10,10,10,10,0,2,1,5,1.0,8,10,7,0,2,2,5,1,10,3,1,729.1
1139,2,1,7,0,1,3,1,0,2,5,0.0,4,0,8,0,0,1,7,0,10,2,0,611.2
1140,3,2,3,4,8,7,4,4,2,6,5.0,4,7,6,5,3,1,4,4,4,1,0,644.8
1141,4,2,10,7,4,8,5,5,1,7,2.0,7,10,8,0,1,2,6,4,7,4,1,730.8
1143,4,2,10,7,7,8,7,5,1,8,2.0,7,10,8,0,1,2,5,4,7,4,1,739.3
1144,5,1,10,10,9,4,3,5,2,9,5.0,10,10,7,0,1,2,10,2,10,4,1,744.8
1145,5,1,8,9,9,5,2,5,2,8,4.0,10,10,7,0,0,2,10,3,10,4,1,739.7
1146,5,3,10,7,1,10,4,3,1,3,1.0,3,0,7,0,0,2,4,0,7,3,1,677.1
1147,2,3,3,7,8,7,4,4,2,5,4.0,7,4,7,4,3,2,5,4,10,2,0,672.8
1148,2,4,0,6,1,2,0,1,1,2,1.0,1,0,6,10,3,2,8,1,10,4,1,601.7
1149,2,1,4,6,5,10,10,3,1,7,4.0,10,4,8,0,1,2,10,6,6,1,0,729.7
1150,3,2,8,10,10,10,8,0,2,5,10.0,7,10,7,0,2,2,10,10,4,4,1,732.3
1151,2,1,2,2,2,2,3,2,1,2,1.0,3,1,5,3,3,1,3,2,7,1,1,605.3
1152,5,5,3,2,2,10,0,2,1,2,0.0,4,0,5,4,10,2,7,0,10,4,1,622.5
1153,2,3,0,0,0,3,4,1,1,1,3.0,4,2,8,6,5,1,4,2,2,1,1,584.0
1154,3,2,10,7,6,8,5,3,1,8,2.0,10,4,10,0,2,2,6,8,5,1,0,726.7
1155,5,3,5,3,8,10,10,5,2,9,4.0,10,5,8,0,1,2,5,6,10,3,0,728.0
1156,5,2,3,5,3,3,3,3,2,2,5.0,4,2,4,3,5,2,2,2,6,2,0,627.4
1157,3,3,5,5,3,4,5,5,1,7,4.0,3,3,7,0,0,1,7,1,10,2,1,672.0
1158,3,4,0,3,2,3,1,5,1,4,2.0,2,0,7,2,0,1,2,3,4,2,0,612.3
1159,5,4,10,10,8,10,4,3,1,8,5.0,3,5,7,10,1,2,10,2,9,4,0,712.8
1160,4,3,8,6,4,10,4,2,1,8,6.0,2,6,7,0,4,2,4,6,2,2,1,690.5
1161,4,2,10,3,7,8,1,1,2,7,4.0,6,1,7,0,2,2,4,6,7,2,1,674.3
1164,2,3,3,4,2,3,6,1,1,5,2.0,3,2,10,0,4,1,3,4,5,2,1,628.4
1165,2,5,0,2,0,1,0,0,1,5,3.0,10,0,4,0,10,1,0,0,0,4,0,562.3
1166,4,2,10,3,5,8,2,1,2,7,4.0,6,1,7,0,2,2,4,6,7,2,1,672.6
1167,4,2,10,3,3,8,2,1,2,7,4.0,6,1,7,0,2,2,4,6,8,2,1,670.9
1168,3,4,4,7,10,10,4,1,2,5,1.0,3,1,6,3,1,2,10,1,7,3,1,656.5
1169,4,4,4,3,3,3,4,3,1,3,1.0,7,4,8,6,6,1,5,3,2,2,1,622.0
1170,3,2,10,5,10,3,1,5,1,10,3.0,8,1,7,0,2,2,10,5,10,4,0,722.3
1171,1,3,2,4,10,6,10,5,1,8,5.0,2,3,7,10,0,2,5,9,10,3,0,693.9
1172,0,5,3,4,5,10,3,4,2,10,6.0,2,5,6,10,1,2,10,1,10,1,1,651.2
1174,2,1,10,5,10,8,10,5,1,8,4.0,2,4,7,0,1,2,10,6,10,3,0,741.5
1175,5,4,6,5,7,4,7,5,1,6,5.0,6,10,7,0,4,2,10,6,6,3,0,721.9
1176,5,4,10,0,5,3,3,5,2,4,2.0,10,2,7,10,10,1,10,2,10,3,0,632.6
1177,0,3,10,5,0,8,1,1,1,4,2.0,10,2,8,3,2,2,2,0,10,2,0,654.9
1178,1,4,2,0,1,3,5,0,2,7,1.0,4,5,6,7,0,2,10,1,7,2,0,612.5
1179,5,5,10,10,10,10,10,5,2,10,10.0,10,10,10,10,10,2,10,10,10,3,0,752.2
1182,4,3,2,5,10,8,8,4,1,6,8.0,3,7,6,9,4,2,6,6,10,4,1,702.4
1183,5,2,10,9,4,6,1,5,1,6,1.0,2,2,7,0,7,2,6,1,10,4,1,688.8
1184,2,4,9,5,10,10,10,5,1,10,5.0,9,3,7,0,2,2,10,8,10,4,1,751.4
1185,0,4,0,4,6,10,0,1,1,5,4.0,2,1,7,10,0,2,0,0,3,1,1,607.2
1186,5,4,10,0,5,3,3,5,2,4,2.0,10,2,7,10,10,1,10,2,10,3,0,632.6
1187,0,3,10,5,0,8,1,1,1,4,2.0,10,2,8,3,2,2,2,0,10,2,0,654.9
1188,3,3,10,8,10,8,4,4,2,7,3.0,9,1,6,0,7,1,7,4,4,4,1,669.6
1189,5,4,5,1,3,4,0,2,2,4,1.0,5,0,7,0,2,2,3,0,5,4,0,618.0
1190,2,1,1,10,7,3,5,4,1,6,0.0,4,2,8,0,3,2,4,3,8,2,0,679.2
1191,3,4,7,6,10,10,7,5,1,9,3.0,10,10,6,2,1,2,10,5,10,4,1,748.0
1192,5,3,5,10,10,6,3,4,1,7,1.0,7,5,7,0,1,2,5,3,10,2,0,717.0
1193,1,3,7,10,5,10,3,2,1,9,5.0,3,10,8,0,2,2,10,4,2,1,1,706.2
1194,3,2,8,8,7,5,3,0,1,7,3.0,4,1,7,2,2,1,3,2,4,2,1,648.4
1195,2,3,5,5,3,10,3,4,2,7,3.0,3,3,6,7,5,2,5,3,7,1,1,642.9
1196,2,3,3,2,3,10,2,5,2,9,10.0,8,10,7,0,7,2,10,10,10,2,1,708.7
1197,1,5,6,5,10,4,4,5,1,7,5.0,6,3,6,5,8,2,6,3,10,2,1,672.4
1198,1,4,10,8,4,8,1,0,1,7,5.0,8,5,8,10,2,2,3,1,2,2,0,652.8
1199,5,4,0,0,0,5,1,0,1,0,5.0,10,3,6,10,0,1,7,1,10,3,0,615.4
