,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,ACHIEVEMENT
7519,3,4,7,3,2,6,4,1,4,1.0,3,2,8,7,7,2,6,0,2,2,1,629.7,3
7520,1,2,5,5,5,3,3,1,7,1.0,2,5,6,0,1,2,4,3,2,2,0,649.5,0
7521,2,4,4,6,0,3,0,2,2,1.0,4,0,6,0,5,2,5,1,5,2,0,597.2,2
7522,2,3,2,3,3,2,0,2,8,2.0,1,1,8,0,10,2,2,0,4,2,1,588.5,1
7523,3,1,4,4,4,7,2,1,4,2.0,5,1,7,2,2,2,3,2,3,2,0,653.7,3
7524,2,3,5,5,3,5,2,2,2,2.0,7,0,9,4,8,1,5,4,1,2,0,601.8,4
7525,5,4,10,4,2,7,5,2,5,3.0,2,10,8,2,2,1,5,3,3,2,0,651.6,2
7526,5,4,1,3,4,4,0,1,3,1.0,10,5,5,0,6,2,4,0,3,2,0,637.3,4
7527,3,2,5,4,2,6,1,1,7,4.0,1,3,8,0,1,2,1,3,10,1,0,668.4,5
7528,5,2,4,5,7,5,3,1,7,1.0,4,5,7,0,1,2,3,5,3,2,1,682.4,3
7529,5,1,5,7,10,3,5,1,10,6.0,8,10,7,0,0,2,8,7,8,4,0,759.7,8
7530,2,3,10,7,10,5,1,1,4,1.0,5,1,7,0,2,2,3,3,10,2,1,675.8,2
7531,4,4,6,2,8,2,5,1,6,4.0,4,3,8,3,1,2,10,4,7,2,1,686.0,2
7532,1,1,1,0,0,3,1,1,4,1.0,6,5,9,7,0,2,4,0,10,2,0,630.5,1
7533,3,2,4,2,2,2,4,2,8,5.0,10,8,6,0,1,1,1,5,10,2,0,657.9,3
7534,4,4,1,3,6,8,4,1,7,2.0,3,2,9,0,4,2,10,1,10,3,1,680.9,3
7535,0,1,5,6,3,2,0,1,8,3.0,1,5,6,0,1,1,2,8,2,1,0,635.7,5
7536,3,4,2,3,6,10,3,2,3,1.0,10,2,7,5,7,2,6,2,8,3,0,639.4,2
7537,4,2,3,4,7,9,4,1,5,7.0,8,10,8,3,4,2,6,1,10,2,0,712.3,4
7538,4,4,6,3,3,7,2,2,8,2.0,8,0,6,10,6,2,10,1,7,3,1,635.4,3
7539,3,5,8,3,5,8,0,1,6,2.0,6,0,7,4,0,1,0,1,5,1,1,619.9,0
7540,0,5,2,4,10,7,3,2,8,3.0,6,5,7,5,5,2,10,7,5,2,0,655.6,4
7541,2,4,10,10,10,10,3,2,8,5.0,10,10,8,0,1,2,10,8,10,2,0,741.6,4
7542,4,5,6,5,1,10,4,1,3,2.0,4,1,5,0,10,2,5,0,2,2,1,639.5,5
7543,4,4,5,3,3,3,4,2,3,2.0,9,1,6,2,2,2,2,1,4,3,0,627.1,1
7544,3,1,2,10,6,10,3,2,9,1.0,5,10,6,0,4,2,8,4,10,3,0,697.7,2
7545,1,2,3,6,5,3,5,2,4,1.0,3,3,7,7,5,2,3,3,5,2,0,622.7,3
7546,2,5,5,5,10,10,2,2,5,5.0,2,0,6,3,8,2,1,4,2,3,1,622.3,3
7547,4,5,10,3,3,10,5,2,4,5.0,5,10,5,10,2,2,6,3,7,4,1,663.5,2
7548,3,2,10,9,2,7,1,2,9,1.0,4,5,8,8,0,1,3,3,10,3,1,652.0,5
7549,2,4,3,2,2,3,2,1,1,0.0,6,0,7,4,3,2,2,0,10,3,0,613.1,0
7550,4,2,0,4,4,10,3,1,10,10.0,3,4,6,10,0,1,5,10,10,2,0,685.4,6
7551,2,1,5,7,0,2,3,1,0,3.0,10,4,8,2,8,2,1,3,5,1,0,651.5,5
7552,3,3,5,10,7,10,1,1,1,8.0,5,5,7,10,7,2,3,5,4,1,1,662.2,3
7553,5,2,3,10,1,2,2,1,0,2.0,8,10,7,2,10,2,0,5,5,1,1,667.9,10
7554,4,1,10,10,4,1,2,1,1,4.0,3,5,9,2,1,2,10,5,4,1,0,704.7,10
7555,2,3,4,2,1,10,0,1,2,4.0,5,2,8,3,4,2,5,2,1,2,1,633.5,4
7556,4,3,10,10,3,10,1,2,5,5.0,10,10,7,0,1,2,10,3,7,2,0,715.9,6
7557,1,4,0,2,6,2,1,2,8,2.0,3,2,6,0,5,1,2,5,5,3,1,590.2,2
7558,5,3,5,4,10,10,1,1,7,3.0,5,5,8,5,2,2,10,4,7,2,0,696.4,1
7559,4,5,10,10,10,10,5,1,8,2.0,6,2,8,6,6,2,10,1,1,2,1,700.0,6
7560,1,5,0,4,4,3,1,2,8,1.0,3,2,5,10,3,1,5,0,1,3,1,559.4,1
7561,5,3,5,4,9,8,1,2,5,6.0,10,9,8,0,3,2,7,7,7,3,1,711.0,8
7562,2,5,10,5,2,1,5,1,5,2.0,2,0,6,5,10,2,1,1,1,2,1,605.3,0
7563,4,4,10,1,1,2,0,1,5,1.0,2,1,8,10,4,1,3,5,5,2,0,597.2,0
7564,3,2,5,2,2,1,0,1,3,4.0,5,5,8,5,5,1,1,3,7,2,1,621.6,6
7565,3,3,10,10,10,10,5,1,8,5.0,8,5,8,0,1,2,10,3,5,2,1,744.6,5
7566,3,3,5,4,0,10,0,2,2,1.0,7,3,8,0,1,2,6,0,1,2,1,627.1,1
7567,3,3,10,7,4,10,1,2,3,2.0,7,1,6,3,1,2,2,4,5,2,0,648.8,1
7568,1,5,1,5,7,10,5,1,9,2.0,1,10,6,5,1,2,10,2,10,1,1,683.3,2
7569,5,4,2,4,10,10,5,1,6,5.0,10,1,5,0,2,2,10,2,4,3,1,705.3,4
7570,1,2,1,6,4,10,2,2,1,1.0,10,1,5,2,0,1,3,1,4,3,1,616.9,4
7571,1,4,4,2,9,6,5,2,3,1.0,5,2,8,6,0,2,2,3,3,2,1,626.7,1
7572,5,3,2,10,5,4,4,2,7,3.0,5,0,8,0,5,2,8,0,4,3,1,662.4,5
7573,5,3,10,6,6,10,4,1,9,5.0,10,4,7,2,3,2,10,10,10,3,0,751.6,6
7574,3,3,7,10,3,5,5,1,8,3.0,8,3,7,3,3,2,3,4,6,2,1,691.7,4
7575,3,4,10,2,6,4,5,1,8,1.0,7,0,9,0,2,1,10,1,10,2,1,680.0,4
7576,4,2,5,6,2,1,1,2,8,3.0,10,5,9,7,2,2,10,10,4,2,1,670.4,2
7577,1,4,10,3,0,6,0,2,10,2.0,9,10,9,5,1,2,6,0,7,2,0,656.6,4
7578,5,3,10,4,10,10,3,2,10,2.0,7,0,7,0,3,1,3,5,10,3,0,691.5,10
7579,2,1,0,2,1,9,2,1,5,1.0,1,0,7,0,5,1,1,0,4,2,1,603.6,2
7580,3,3,8,3,4,8,2,2,5,5.0,5,5,6,0,2,1,3,2,3,2,1,638.2,5
7581,5,3,10,8,10,10,1,1,6,3.0,4,10,7,0,0,2,8,6,3,3,0,730.0,7
7582,1,4,6,8,5,6,1,1,6,3.1950394588500566,6,1,7,0,2,2,6,5,9,2,1,676.0,4
7583,3,3,6,6,10,10,5,2,7,6.0,7,10,6,0,4,2,10,2,7,3,1,718.5,8
7584,3,1,6,10,10,8,5,1,7,3.0,5,10,6,0,1,2,10,6,5,4,1,748.7,10
7585,3,4,7,5,4,8,2,2,4,4.0,9,1,8,0,2,2,10,4,5,3,1,675.1,6
7586,4,3,10,5,4,10,5,1,6,3.0,5,1,8,3,3,2,6,1,4,2,1,687.9,4
7587,4,3,5,6,8,6,3,1,7,4.0,4,10,7,2,4,1,4,7,5,3,1,687.5,8
7588,5,4,6,10,10,10,5,1,7,1.0,10,10,7,10,0,2,10,10,6,4,1,741.4,5
7589,2,1,6,2,4,4,1,1,7,9.0,9,3,8,0,1,1,10,2,8,1,0,681.9,4
7590,3,5,2,2,3,10,0,2,2,2.0,3,1,7,0,7,2,3,1,4,4,0,597.2,1
7591,2,3,10,3,10,3,5,1,10,4.0,3,3,6,0,4,2,5,3,7,4,1,688.8,3
7592,3,5,4,4,10,3,5,1,8,1.0,6,7,7,3,0,2,3,5,3,1,0,681.1,5
7593,0,1,5,7,5,7,0,1,8,3.0,4,3,8,0,3,2,4,4,4,1,0,670.7,6
7594,3,4,0,1,0,8,1,1,4,4.0,3,5,5,7,4,1,4,5,0,1,1,603.6,6
7595,2,3,10,10,1,5,1,1,0,4.0,5,7,8,7,4,1,10,2,2,2,1,640.3,2
7596,1,1,5,5,4,10,1,1,2,7.0,2,1,6,0,2,2,1,2,2,1,0,649.5,4
7597,5,3,10,10,7,6,5,1,8,10.0,9,2,8,10,8,2,10,3,10,1,1,732.9,10
7598,3,3,8,5,8,7,5,1,6,4.0,5,2,7,4,4,2,6,3,10,2,1,696.2,5
7599,3,0,6,4,5,7,0,1,9,2.0,9,3,8,0,2,2,5,3,2,1,0,693.8,9
7600,3,3,0,5,5,10,5,1,9,3.0,5,6,6,0,7,2,6,1,1,3,1,670.5,3
7601,3,2,8,8,3,5,3,1,2,1.0,8,3,5,0,0,2,10,2,2,2,1,681.1,4
7602,1,1,2,10,10,10,5,2,8,3.0,2,5,9,0,2,2,10,4,10,4,1,706.2,3
7603,5,0,10,5,10,3,2,2,4,3.0,2,0,8,0,0,2,4,10,10,2,1,695.8,5
7604,3,2,10,6,10,5,1,1,8,2.0,4,0,8,3,1,2,2,2,10,3,1,684.3,4
7605,3,4,10,4,10,3,0,1,5,4.0,4,2,7,0,0,2,10,6,7,2,0,690.9,5
7606,2,2,2,3,4,2,2,1,5,1.0,3,5,6,0,2,1,3,5,10,2,0,634.4,1
7607,4,3,0,5,2,2,0,2,2,1.0,6,2,6,4,6,2,4,2,8,3,0,602.7,1
7608,5,4,5,6,2,4,5,1,2,1.0,5,1,6,0,0,1,10,2,10,4,0,675.6,10
7609,2,2,10,5,10,10,5,1,0,8.0,10,2,8,0,7,1,7,2,1,3,0,688.9,7
7610,5,1,10,6,6,10,5,1,8,2.0,2,10,6,0,1,2,10,4,10,3,0,751.5,10
7611,2,0,4,3,1,8,4,1,8,1.0,6,3,7,0,1,1,9,8,4,1,0,677.7,4
7612,1,4,1,10,5,10,0,2,6,0.0,10,0,6,2,1,1,1,0,2,2,0,605.2,2
7613,5,3,5,10,10,5,5,2,10,5.0,10,8,6,0,1,2,8,6,10,4,1,744.6,10
7614,3,1,10,6,10,6,3,1,8,0.0,6,0,7,2,0,2,6,6,2,4,1,693.0,1
7615,5,5,10,10,10,5,5,1,7,1.0,1,1,9,5,1,1,7,2,10,3,1,694.1,10
7616,5,4,7,10,10,6,0,1,6,2.0,10,5,7,5,1,2,10,2,7,2,1,707.4,6
7617,3,1,1,7,9,4,2,2,8,3.0,10,3,5,0,3,2,4,3,6,2,1,674.7,7
7618,1,2,0,4,4,2,2,1,5,4.0,1,2,8,0,2,2,3,2,7,1,1,637.8,2
7619,1,3,2,3,10,10,4,2,5,0.0,2,2,7,0,10,2,10,0,1,4,1,632.7,5
7620,5,5,4,6,9,10,3,2,8,5.0,10,10,6,10,6,1,7,9,7,4,1,680.0,7
7621,1,5,2,8,4,10,0,2,3,2.0,10,1,6,2,1,1,1,0,2,2,0,601.8,4
7622,1,4,5,5,10,2,1,1,0,1.0,2,0,7,0,1,1,1,2,2,2,0,603.8,2
7623,5,4,3,10,6,10,5,2,3,5.0,6,3,4,3,5,1,5,1,7,2,1,651.6,5
7624,1,4,10,6,7,3,2,1,8,4.0,2,3,8,1,2,1,5,8,5,2,1,668.6,8
7625,1,3,10,5,10,4,2,1,8,1.0,10,0,9,0,3,1,1,7,4,1,1,667.0,4
7626,2,4,2,1,3,4,1,1,7,1.0,1,0,7,0,2,1,2,1,5,3,1,598.5,1
7627,3,1,0,4,1,2,0,1,4,0.0,1,3,6,0,0,1,3,1,10,1,0,627.2,9
7628,1,3,5,4,3,8,5,1,7,6.0,2,1,8,0,5,2,5,7,6,3,1,675.4,3
7629,5,1,1,2,6,7,5,2,8,3.0,9,1,5,0,1,2,7,4,10,4,0,693.2,6
7630,2,3,0,5,3,8,0,2,2,2.0,5,0,7,0,10,1,5,2,10,3,0,592.5,0
7631,0,1,3,9,10,2,5,1,4,4.0,2,2,8,0,0,1,3,2,10,2,0,663.5,2
7632,2,1,5,5,3,4,5,1,7,4.0,4,2,8,0,0,2,3,3,7,2,0,682.6,3
7633,3,5,2,10,4,10,5,1,10,2.0,10,0,7,0,10,2,10,1,10,3,1,690.4,2
7634,3,1,1,5,2,4,5,1,10,0.0,2,10,8,0,2,2,3,0,10,4,0,677.1,0
7635,3,3,4,4,1,2,0,1,4,0.0,5,2,8,0,2,2,1,1,3,2,1,625.0,3
7636,3,5,3,9,6,7,4,2,7,3.0,9,2,5,5,3,2,4,4,2,4,0,650.7,4
7637,1,4,1,4,2,3,3,1,6,0.0,3,3,9,0,3,2,6,0,3,3,1,629.9,2
7638,2,5,1,3,5,3,1,2,6,2.0,4,2,7,1,10,2,10,0,7,4,1,607.6,1
7639,5,0,2,5,10,5,5,1,8,8.0,1,10,8,0,0,2,9,6,10,2,0,753.4,10
7640,2,1,2,5,10,10,1,1,10,2.0,10,5,6,0,0,2,10,3,7,2,0,715.7,5
7641,2,5,1,5,3,2,4,1,4,0.0,3,5,7,4,0,2,3,0,1,4,1,619.3,1
7642,2,3,4,4,3,3,2,1,7,4.0,6,2,9,5,3,1,6,4,6,2,1,642.4,4
7643,2,3,4,10,2,10,1,2,1,2.0,7,2,7,0,1,1,2,1,6,2,1,626.9,4
7644,5,2,4,2,0,10,2,2,6,1.0,10,1,8,0,4,1,5,4,9,2,1,653.2,6
7645,5,3,10,9,4,7,5,1,9,4.0,9,3,8,0,2,2,10,6,8,3,0,746.5,8
7646,2,3,3,4,10,7,2,2,7,2.0,2,10,7,10,7,2,8,3,4,3,0,639.5,3
7647,2,0,5,3,4,3,0,2,4,1.0,2,0,7,0,1,1,5,2,10,3,0,615.7,2
7648,1,3,3,4,6,4,3,2,0,1.0,1,1,8,0,1,2,10,1,10,4,0,639.5,5
7649,1,5,8,4,7,10,5,2,9,1.0,5,5,6,0,1,2,8,1,7,2,1,679.0,6
7650,2,3,10,10,10,10,3,2,8,3.0,4,2,6,8,1,1,9,2,10,2,1,672.0,5
7651,1,2,6,5,4,5,3,1,5,4.0,6,5,3,3,6,1,3,3,4,4,1,634.4,4
7652,4,4,9,9,9,8,4,1,8,9.0,9,9,9,9,9,2,9,9,1,3,0,728.0,8
7653,3,5,5,3,10,2,5,2,5,3.0,10,1,5,0,6,2,0,2,2,3,1,628.8,0
7654,5,2,10,6,10,10,2,2,10,5.0,9,3,6,0,5,2,7,6,5,3,0,713.8,6
7655,5,3,1,2,10,5,3,1,10,2.0,10,2,7,8,4,1,4,6,8,3,1,661.5,2
7656,2,3,2,3,4,4,3,1,1,0.0,2,1,7,4,4,1,1,0,2,2,1,586.8,1
7657,2,1,2,2,2,3,0,1,8,2.0,2,5,8,0,1,1,1,1,7,2,0,622.7,1
7658,3,0,1,4,7,1,5,2,1,2.0,1,0,7,0,0,1,10,3,7,4,1,635.9,3
7659,5,2,6,5,10,10,5,1,8,6.0,10,2,6,0,5,2,8,4,10,4,1,732.7,3
7660,3,3,4,6,10,10,4,2,9,7.0,5,6,6,10,2,2,10,8,5,4,0,697.7,7
7661,5,1,10,6,3,3,1,1,8,8.0,2,5,6,0,1,2,1,8,10,2,0,705.6,5
7662,4,1,7,10,9,10,5,1,8,6.0,3,5,8,0,1,2,8,8,10,3,0,747.0,1
7663,5,2,10,8,1,3,0,1,1,5.0,6,0,8,0,0,2,5,5,5,2,0,676.2,3
7664,2,3,10,4,3,5,1,1,3,2.0,3,2,8,10,5,2,8,1,3,2,1,633.1,4
7665,3,2,2,5,1,3,2,1,2,1.0,3,1,4,5,2,1,2,3,2,3,0,598.3,3
7666,5,2,10,5,1,4,0,1,3,5.0,6,1,8,0,1,2,5,5,4,2,0,679.6,6
7667,3,2,5,0,0,3,0,1,2,0.0,1,0,7,0,1,1,2,0,4,2,1,593.4,3
7668,4,3,8,5,7,3,4,2,5,5.0,4,4,6,10,4,2,8,5,10,4,0,672.0,8
7669,5,5,2,5,10,5,5,1,5,0.0,6,0,8,2,1,2,10,6,5,2,1,683.0,1
7670,1,4,10,1,0,1,0,1,2,1.0,5,5,7,1,0,1,0,2,2,2,0,601.0,3
7671,4,0,10,10,10,10,0,2,8,10.0,5,1,7,0,0,2,0,10,5,3,0,716.6,6
7672,1,3,8,6,10,3,3,2,6,0.0,5,0,9,6,7,2,3,0,4,2,0,625.2,3
7673,3,3,6,7,10,10,2,2,8,3.0,8,5,5,0,3,2,7,2,10,3,0,698.1,7
7674,4,5,3,3,8,6,3,1,6,5.0,1,0,7,0,7,1,8,2,9,2,1,641.0,1
7675,3,0,0,1,5,2,5,1,7,5.0,10,10,7,10,0,1,4,8,6,2,1,670.0,1
7676,4,3,1,4,5,10,2,1,4,4.0,1,2,10,0,3,1,4,4,10,1,1,660.3,5
7677,0,4,0,4,0,1,0,2,0,0.0,2,0,5,10,0,2,2,0,1,2,0,540.5,0
7678,1,4,0,2,1,1,0,1,3,1.0,1,2,8,4,2,2,1,1,6,2,1,593.6,3
7679,3,1,6,3,3,4,0,2,9,7.0,2,2,8,0,0,2,10,1,8,4,1,663.5,2
7680,2,3,3,2,10,1,1,2,4,2.0,4,1,5,7,4,1,2,1,4,3,1,580.0,2
7681,1,0,10,1,10,10,5,1,7,2.0,7,5,6,0,1,2,2,5,10,1,0,715.1,3
7682,1,4,3,10,6,8,2,2,3,2.0,8,5,6,2,4,2,10,4,4,3,0,659.2,5
7683,1,3,8,3,7,4,5,2,3,0.0,7,1,6,5,0,2,6,6,9,2,1,657.3,4
7684,3,1,5,8,7,8,5,1,6,3.0,8,5,7,2,2,1,2,1,9,1,1,698.5,10
7685,2,5,4,3,7,6,0,2,8,7.0,4,1,7,0,1,2,2,6,3,4,1,636.5,2
7686,4,3,3,8,5,10,5,2,9,6.0,6,8,7,10,1,2,4,7,7,4,1,701.5,10
7687,4,1,6,8,4,8,2,1,7,2.0,6,3,8,5,1,2,8,3,5,2,1,698.3,7
7688,4,4,10,4,0,5,0,1,3,2.0,6,0,6,0,3,2,8,1,10,2,1,662.2,6
7689,1,1,10,10,3,10,2,1,2,1.0,8,10,5,0,2,2,5,3,10,1,0,706.6,5
7690,4,2,5,4,5,10,3,1,10,4.0,10,4,7,0,6,2,5,2,8,3,1,705.7,5
7691,1,4,10,5,10,6,4,2,4,5.0,4,10,8,5,2,2,7,4,10,4,0,692.8,8
7692,5,2,3,5,10,10,1,1,7,3.0,3,2,4,10,0,2,10,3,10,1,0,695.2,10
7693,4,2,2,5,4,10,2,1,8,4.0,7,1,6,0,2,2,6,9,7,4,1,696.4,3
7694,2,4,5,4,4,10,2,1,6,2.0,4,7,7,0,1,2,2,3,3,1,0,660.3,1
7695,5,2,10,2,5,5,5,2,10,2.0,10,2,8,0,0,2,7,1,10,3,1,700.8,2
7696,1,2,10,3,7,5,1,1,5,4.0,4,3,8,10,2,2,5,1,4,2,1,652.0,5
7697,5,3,2,10,7,10,5,2,6,3.0,8,1,7,7,5,2,10,3,3,4,1,681.5,7
7698,5,4,10,7,3,10,1,1,7,1.0,8,1,6,0,3,1,6,1,5,2,1,664.3,3
7699,2,1,5,4,3,6,1,1,3,5.0,1,4,8,3,2,2,7,4,5,2,1,659.9,3
7700,1,5,4,3,8,4,1,2,4,1.0,3,0,7,10,10,2,0,2,7,1,1,578.5,2
7701,2,1,1,3,2,5,5,2,5,1.0,10,3,7,0,1,2,10,4,10,4,0,687.0,10
7702,0,4,1,5,8,10,4,2,1,4.0,6,5,6,0,8,2,6,2,0,2,1,628.2,2
7703,0,4,1,5,8,10,2,2,1,2.0,6,5,7,0,7,2,6,2,0,2,1,621.6,2
7704,4,2,10,5,3,7,3,2,7,5.0,4,2,8,0,1,2,6,8,4,2,1,682.6,2
7705,0,4,0,5,4,10,0,1,7,0.0,7,4,5,0,0,1,1,0,0,2,1,607.8,1
7706,4,2,5,2,5,5,0,1,4,4.0,7,4,7,0,6,2,7,2,10,2,0,671.1,3
7707,0,4,0,5,4,10,0,1,7,0.0,7,4,5,0,0,1,1,0,0,2,1,607.8,1
7708,3,1,9,3,10,3,0,2,1,1.0,3,1,7,0,1,2,3,3,4,3,0,634.6,1
7709,3,1,8,2,5,2,0,2,1,1.0,4,0,7,0,1,2,3,2,3,3,0,617.8,1
7710,1,3,7,7,4,8,5,1,7,2.0,7,5,5,8,2,2,4,4,6,2,1,670.7,1
7711,5,2,8,8,2,10,3,2,4,2.0,10,3,8,10,5,2,6,4,3,1,1,670.2,7
7712,4,1,2,6,7,6,2,1,4,5.0,7,3,8,4,1,1,2,4,4,1,1,656.0,1
7713,5,1,2,9,8,7,2,1,5,2.0,7,2,8,0,1,2,6,4,6,1,1,705.3,6
7714,2,2,10,10,10,10,2,2,10,10.0,7,2,7,0,6,2,6,3,7,1,1,708.5,5
7715,1,1,1,5,2,10,1,1,5,2.0,7,8,7,0,1,1,5,1,6,1,0,659.2,6
7716,3,4,2,5,7,10,2,2,3,0.0,10,0,8,10,4,2,3,1,2,2,0,619.2,3
7717,3,3,9,2,3,10,2,1,8,6.0,10,10,6,4,1,2,10,10,8,2,1,725.9,4
7718,1,4,4,4,2,5,1,1,7,2.0,6,1,8,10,5,2,2,1,4,2,0,613.3,2
7719,4,3,1,7,10,4,5,2,7,3.0,8,0,6,7,1,1,1,2,10,3,1,642.2,3
7720,3,1,10,3,1,10,0,1,5,10.0,8,1,7,0,0,2,3,4,5,3,1,690.0,3
7721,5,4,7,3,4,5,0,2,10,7.0,10,10,8,0,0,2,4,8,10,4,1,702.5,3
7722,5,1,8,6,5,5,5,1,9,5.0,10,5,8,0,1,2,4,3,6,4,1,728.0,5
7723,4,4,7,5,4,10,3,1,2,1.0,6,1,8,5,1,2,4,1,10,3,1,672.8,5
7724,1,4,5,1,7,10,5,2,8,2.0,2,0,7,5,4,2,2,0,3,2,1,620.8,2
7725,3,2,8,10,10,4,5,1,8,5.0,6,3,7,2,4,2,7,9,10,3,1,728.7,4
7726,2,5,4,5,10,10,1,1,6,6.0,8,3,7,0,1,2,6,9,5,3,0,703.6,8
7727,1,5,10,10,7,10,5,2,2,0.0,1,2,6,7,2,2,10,1,1,3,1,640.8,3
7728,2,2,5,3,10,5,3,1,5,3.0,2,5,8,0,1,2,6,5,7,4,0,683.9,2
7729,1,2,5,10,10,10,2,2,2,2.0,4,5,7,4,1,2,4,4,3,2,1,658.6,3
7730,5,2,4,10,10,10,5,1,5,6.0,10,5,8,1,10,2,5,1,5,3,1,716.1,5
7731,4,3,3,4,2,5,2,1,3,1.0,7,0,5,5,1,2,6,2,4,2,0,640.1,3
7732,3,1,3,9,5,10,4,1,9,5.0,4,5,8,9,6,1,5,8,10,3,1,686.0,4
7733,3,5,2,5,10,6,1,2,5,8.0,9,1,7,5,0,1,10,0,1,4,1,629.0,1
7734,3,1,4,4,5,6,5,1,6,1.0,4,7,7,10,3,1,7,4,7,2,0,662.0,5
7735,3,2,5,5,3,5,0,1,8,2.0,4,3,8,0,2,2,5,3,3,2,1,665.6,6
7736,2,2,5,5,8,10,5,2,4,4.0,5,3,8,0,2,1,5,2,5,2,1,660.7,5
7737,5,0,10,7,4,6,3,1,6,5.0,10,10,6,4,0,2,7,7,10,3,0,739.5,3
7738,5,4,10,10,6,10,0,1,5,3.0,2,0,7,0,3,1,6,4,0,3,1,658.2,4
7739,4,3,10,10,10,5,5,1,8,5.0,10,10,7,5,1,1,10,6,10,2,0,741.4,7
7740,2,2,10,10,10,10,5,2,6,10.0,4,10,6,0,0,1,5,8,10,2,0,731.5,10
7741,1,1,7,5,10,4,5,1,9,1.0,2,1,9,4,4,2,3,5,7,2,1,682.4,5
7742,2,2,6,3,3,6,5,2,4,1.0,8,0,6,8,1,2,5,1,10,3,0,638.8,0
7743,3,2,4,8,3,6,5,1,8,2.0,9,2,8,0,1,2,3,3,9,2,1,698.9,3
7744,5,3,10,8,10,6,5,2,9,6.0,9,5,7,1,2,2,9,6,10,2,0,739.5,7
7745,2,3,2,3,1,7,5,1,5,1.0,2,1,7,0,1,1,2,2,10,2,1,634.4,2
7746,3,4,5,10,10,10,5,1,9,3.0,6,5,7,0,0,1,10,3,10,2,0,727.0,10
7747,4,4,10,5,10,5,5,1,8,0.0,5,0,8,5,9,2,3,3,7,4,1,667.5,1
7748,2,1,10,5,10,10,5,2,10,5.0,5,3,8,2,1,2,10,8,10,2,1,737.2,9
7749,2,3,3,4,10,3,5,1,2,1.0,3,0,8,0,10,1,2,1,10,2,1,622.9,0
7750,0,5,0,3,2,2,0,2,7,0.0,4,1,9,0,1,1,4,0,8,2,1,582.5,2
7751,2,4,2,4,2,6,0,2,8,3.0,5,10,7,0,4,2,3,1,0,3,0,623.1,2
7752,2,2,1,3,4,10,1,1,8,0.0,1,1,7,6,2,2,5,1,8,3,1,635.9,0
7753,0,3,5,6,3,4,0,1,6,3.0,2,2,7,4,6,1,10,1,6,2,0,614.0,1
7754,5,3,3,3,3,5,5,1,8,4.0,7,1,8,3,8,2,4,2,6,2,1,664.5,2
7755,2,2,10,10,8,9,5,1,6,4.0,3,3,6,0,1,2,7,7,7,2,0,721.1,4
7756,1,4,0,3,10,4,5,1,6,7.0,10,5,6,6,2,1,2,6,8,3,1,663.0,5
7757,2,4,2,2,0,2,0,2,5,1.0,2,1,8,10,1,1,4,0,3,3,0,556.4,1
7758,2,3,5,1,3,10,5,2,8,3.0,7,10,8,0,0,2,2,1,10,2,0,684.9,5
7759,3,3,10,5,6,10,4,1,9,4.0,9,7,7,0,2,2,10,9,6,4,1,739.5,5
7760,3,2,4,9,4,8,5,2,8,0.0,4,1,8,2,1,2,2,1,5,3,0,658.8,3
7761,4,5,4,5,10,10,4,2,10,7.0,10,7,7,4,3,2,10,4,3,2,1,710.8,10
7762,0,5,1,3,2,2,0,2,3,2.0,1,10,6,5,10,1,0,0,0,2,1,537.1,0
7763,4,1,10,10,8,10,2,2,2,4.0,10,4,8,0,0,2,6,5,10,1,0,722.9,6
7764,2,1,1,5,2,5,3,1,0,0.0,1,0,8,4,0,1,0,0,5,2,1,600.4,1
7765,2,2,2,3,10,2,5,1,7,5.0,4,6,5,10,6,2,10,5,7,3,0,682.0,10
7766,1,0,1,3,1,10,5,2,4,1.0,3,1,7,10,1,1,2,2,7,2,1,607.4,3
7767,2,2,8,8,5,6,5,2,8,3.0,4,10,7,0,1,1,3,6,5,2,0,680.7,7
7768,4,2,10,10,10,10,5,1,9,5.0,9,2,7,0,1,2,10,6,10,2,1,761.6,5
7769,1,2,2,10,8,10,5,1,9,4.0,5,3,6,3,1,2,2,4,3,2,1,689.2,4
7770,2,3,10,10,2,4,5,1,5,5.0,2,1,7,0,2,1,10,1,5,2,0,673.5,7
7771,1,5,10,3,4,2,5,1,7,2.0,4,5,7,0,9,2,10,1,10,4,0,667.1,3
7772,1,3,6,5,1,2,5,1,9,5.0,8,2,8,3,2,2,4,2,5,2,1,668.1,3
7773,1,3,6,9,8,10,5,1,5,2.0,6,4,7,0,1,2,8,2,4,2,0,703.2,6
7774,4,2,4,3,5,8,2,2,8,6.0,6,7,7,0,5,2,6,1,7,3,1,676.0,5
7775,4,2,4,3,6,10,5,1,6,5.0,3,3,8,0,4,2,10,2,3,2,0,696.0,5
7776,2,3,6,6,4,5,3,1,7,1.0,5,2,7,0,6,2,4,1,3,2,1,657.1,6
7777,2,2,10,10,10,10,5,2,10,3.0,8,2,7,0,1,1,2,1,4,2,1,683.2,4
