,FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,DAILY_STRESS
6358,4,10,4,7,7,4,2,2,7,5.0,2,0,7,0,3,2,10,1,10,2,1,676.9,3
6359,4,3,6,10,3,3,5,2,10,1.0,10,10,8,0,1,2,8,2,6,4,0,709.3,1
6360,2,5,10,10,10,4,3,2,6,3.0,3,10,8,0,6,2,10,3,2,3,1,685.8,3
6361,3,5,6,8,2,4,1,1,8,2.0,10,0,8,10,0,2,2,1,2,2,1,649.8,3
6362,4,5,4,1,8,3,1,1,5,2.0,8,5,8,0,1,2,10,2,7,3,1,691.9,1
6363,3,3,6,10,10,5,5,1,8,5.0,10,10,6,10,3,2,6,7,10,2,0,725.9,2
6364,5,2,2,10,10,3,2,1,6,2.0,4,10,7,0,1,2,5,8,10,3,1,709.6,3
6365,1,3,7,8,10,3,1,2,3,2.0,3,1,9,3,5,1,8,1,7,2,1,616.3,5
6366,5,3,5,6,7,1,2,1,7,1.0,8,10,6,0,7,1,10,1,8,4,0,672.8,3
6367,0,5,10,0,7,3,0,2,2,1.0,2,0,2,0,10,2,8,0,4,3,0,596.0,2
6368,5,10,9,10,10,10,5,1,10,5.0,10,10,7,0,0,2,10,10,10,2,0,804.3,0
6369,5,1,6,5,10,3,2,1,7,1.0,8,1,7,0,3,2,3,1,5,3,0,674.7,2
6370,4,8,2,3,2,3,1,1,5,2.0,2,0,9,0,1,1,3,10,10,1,0,662.0,0
6371,4,2,3,3,9,4,5,1,8,0.0,5,1,8,0,5,2,9,1,8,3,0,686.2,1
6372,4,10,4,10,3,2,4,1,7,1.0,8,5,7,0,2,2,4,6,5,2,1,703.6,2
6373,1,8,10,4,5,3,1,2,5,1.0,2,0,6,0,10,2,4,0,10,3,0,617.2,5
6374,2,5,6,10,5,3,5,1,6,3.0,2,2,6,0,7,2,10,10,7,3,1,695.4,2
6375,5,10,9,10,5,6,4,2,8,4.0,10,4,8,0,3,2,8,5,10,4,1,734.8,1
6376,3,5,8,5,8,8,4,1,9,6.0,10,5,7,0,1,2,10,4,9,3,0,743.1,1
6377,5,10,6,6,8,6,5,1,7,2.0,8,2,7,0,4,2,6,3,6,2,1,705.3,5
6378,2,10,5,10,10,10,5,1,10,7.0,6,10,6,10,2,2,10,10,10,4,1,754.0,2
6379,5,3,4,2,6,4,3,2,8,3.0,6,4,7,8,0,2,5,2,5,4,1,647.1,4
6380,1,6,3,5,10,4,5,1,10,0.0,10,3,6,2,2,2,8,1,3,4,1,688.5,2
6381,1,2,3,2,3,3,1,2,1,2.0,1,1,7,7,0,2,4,1,4,4,1,588.3,3
6382,2,3,6,3,5,0,5,1,6,1.0,5,4,7,2,2,2,2,1,5,1,1,655.4,2
6383,4,10,8,10,10,4,5,2,10,6.0,6,10,8,0,0,2,5,5,10,4,1,744.2,2
6384,1,2,3,10,2,0,2,1,0,1.0,4,5,6,10,0,1,1,2,8,2,0,604.0,3
6385,3,4,4,4,8,8,5,1,7,7.0,6,10,7,2,1,2,10,4,10,2,1,730.4,2
6386,1,2,3,10,2,0,2,1,0,1.0,4,5,6,10,0,1,1,2,8,2,0,604.0,3
6387,5,10,4,7,7,8,3,2,6,2.0,5,3,6,1,3,2,10,2,3,4,0,680.7,3
6388,2,10,5,0,4,1,0,1,7,4.0,6,2,7,2,0,2,7,4,7,2,0,672.6,1
6389,3,10,1,10,6,1,5,1,2,0.0,10,0,7,0,2,1,0,1,10,2,1,663.2,2
6390,2,7,7,4,10,7,5,1,7,9.0,7,5,5,2,2,2,5,4,10,2,0,718.3,3
6391,2,6,6,10,3,1,5,1,3,1.0,8,0,8,0,5,2,10,2,5,3,1,676.6,3
6392,5,9,5,7,10,5,1,1,7,7.0,7,7,8,0,1,2,5,9,10,3,0,746.1,0
6393,2,3,5,3,3,1,1,1,2,1.0,5,0,6,0,2,1,1,1,2,1,1,599.1,3
6394,1,10,8,4,5,3,1,1,6,0.0,1,10,8,0,5,1,3,1,7,2,0,649.7,2
6395,2,0,3,2,2,3,2,1,4,7.0,1,3,9,0,10,1,6,5,2,2,0,605.7,5
6396,3,8,9,4,3,4,5,2,4,3.0,4,3,6,7,3,2,8,2,10,4,0,655.0,5
6397,1,10,5,2,10,3,0,1,1,1.0,3,2,6,0,6,2,5,3,2,2,0,632.7,4
6398,1,2,3,10,2,0,2,1,0,1.0,4,5,6,10,0,1,1,2,8,2,0,604.0,3
6399,2,10,1,6,4,3,3,1,8,4.0,8,10,6,10,1,1,1,5,5,1,1,652.4,4
6400,5,4,10,10,10,7,5,1,8,3.0,10,5,6,10,0,2,5,2,7,4,1,719.1,3
6401,3,10,5,10,2,6,1,1,10,10.0,2,10,8,0,10,2,10,10,10,2,1,724.7,3
6402,1,0,3,6,3,4,2,2,7,1.0,1,1,6,10,4,2,5,3,2,2,0,593.2,3
6403,1,0,1,6,10,0,0,1,3,2.0,10,6,4,10,8,1,3,5,7,2,0,603.1,4
6404,2,3,5,5,3,3,3,1,6,1.0,1,3,9,2,3,2,5,1,9,2,0,653.3,3
6405,4,5,1,2,4,2,5,2,3,1.0,4,0,7,0,1,2,1,0,1,3,0,621.2,2
6406,2,10,6,5,10,6,5,1,7,1.0,6,6,8,2,2,2,5,1,5,1,1,700.0,3
6407,2,4,5,0,2,3,0,2,10,2.0,7,5,6,10,9,2,5,2,2,2,1,601.2,3
6408,3,4,4,1,2,5,2,1,6,2.0,8,0,8,1,1,2,7,1,7,1,1,657.9,4
6409,3,8,5,1,4,2,1,2,5,3.0,2,0,10,0,0,2,0,4,8,4,1,648.6,0
6410,1,10,5,2,10,3,0,1,1,1.0,3,2,6,0,6,2,5,3,2,2,0,632.7,4
6411,5,9,8,10,10,4,5,2,8,7.0,5,10,8,0,1,2,10,8,10,4,0,757.6,1
6412,5,10,2,3,1,5,0,1,2,2.0,10,5,8,0,0,2,1,10,10,2,0,695.7,1
6413,4,8,8,10,10,5,3,1,5,1.0,7,0,7,0,3,2,10,2,10,4,0,710.2,4
6414,3,10,2,5,10,6,5,2,7,6.0,3,5,7,6,1,2,7,10,2,3,0,690.7,2
6415,1,0,1,10,2,4,5,2,10,1.0,2,2,5,0,4,2,10,1,10,4,0,640.8,5
6416,3,5,2,6,5,2,3,1,4,2.0,5,2,7,0,3,2,9,3,10,4,1,670.7,4
6417,1,10,7,6,8,5,3,2,8,5.0,5,0,6,0,8,1,3,1,3,2,1,629.7,4
6418,3,10,5,10,2,6,1,1,10,10.0,2,10,8,0,10,2,10,10,10,2,1,724.7,3
6419,4,4,4,4,2,2,0,2,5,4.0,1,1,9,10,4,2,5,3,3,2,1,609.1,2
6420,5,4,3,2,4,5,1,1,9,0.0,3,1,7,0,1,2,3,1,10,4,1,670.3,0
6421,5,7,3,5,10,4,5,1,6,2.0,6,0,7,0,1,1,5,5,8,2,1,687.9,2
6422,4,10,6,10,10,10,5,1,8,2.0,6,5,6,0,2,2,10,5,8,3,0,747.2,2
6423,2,7,5,5,6,3,1,1,9,2.0,10,1,7,0,3,1,6,5,4,2,1,664.9,2
6424,2,10,8,8,4,2,2,1,5,1.0,1,5,7,0,2,1,10,6,3,3,1,664.8,3
6425,1,5,2,0,4,2,0,1,3,1.0,6,0,8,0,8,2,1,0,2,2,0,598.0,4
6426,4,6,5,5,3,1,2,2,6,1.0,3,4,7,0,0,2,3,1,7,3,0,648.2,2
6427,3,10,6,10,10,2,2,1,7,1.0,2,0,7,1,7,2,6,2,6,3,1,673.5,3
6428,5,7,7,4,6,2,5,1,9,8.0,6,6,6,0,1,2,3,3,3,4,0,711.5,1
6429,3,0,2,1,1,1,1,2,4,1.0,1,0,9,10,3,2,3,0,10,2,1,580.2,4
6430,1,7,10,3,1,0,0,1,3,0.0,4,1,9,0,5,1,2,1,10,2,0,614.8,4
6431,1,0,6,10,10,4,0,2,8,1.0,1,1,7,0,1,2,10,5,3,4,1,652.9,2
6432,5,10,10,4,2,2,2,1,7,3.0,3,0,6,0,2,2,2,6,10,3,0,687.1,2
6433,3,10,5,3,3,6,1,1,8,3.0,4,2,7,10,2,1,5,3,3,2,1,638.2,2
6434,4,6,4,4,6,2,1,1,9,3.0,10,3,7,3,3,1,4,3,6,3,1,658.1,3
6435,3,0,4,3,3,2,0,1,6,2.0,10,10,9,0,1,2,3,2,10,4,0,678.9,1
6436,2,5,3,10,4,2,0,1,5,3.0,5,1,8,0,7,1,4,3,7,3,1,636.9,2
6437,2,10,3,5,5,1,1,1,4,1.0,5,10,7,0,3,2,5,1,10,1,0,675.8,2
6438,5,10,5,7,10,10,0,1,10,8.0,9,5,7,0,7,2,8,5,10,2,1,732.7,4
6439,5,4,6,10,10,3,3,1,8,7.0,3,10,6,4,1,2,8,8,10,4,0,729.6,3
6440,1,3,2,4,3,3,0,1,3,2.0,1,0,10,0,0,1,2,2,10,2,0,626.3,0
6441,1,2,9,10,10,3,5,2,8,2.0,3,1,8,4,10,2,3,0,0,3,1,633.1,3
6442,4,10,6,2,7,3,2,1,6,5.0,5,3,7,0,1,2,7,3,10,2,0,701.3,2
6443,5,10,8,4,10,6,5,2,9,1.0,10,2,8,5,0,2,7,2,7,3,1,705.9,3
6444,5,6,2,2,4,0,0,2,3,1.0,6,0,7,0,2,2,5,1,1,3,0,618.2,2
6445,2,10,10,3,10,8,1,1,1,2.0,5,1,6,4,1,1,5,6,3,2,1,656.9,3
6446,4,10,8,2,5,1,0,1,6,5.0,7,1,6,0,1,1,3,0,10,2,0,653.9,4
6447,5,4,5,6,10,2,5,1,7,7.0,5,3,7,0,3,1,0,8,9,2,0,692.8,2
6448,2,6,2,4,4,1,1,1,8,2.0,2,10,8,10,2,2,0,1,6,2,1,631.2,4
6449,5,10,4,10,3,1,5,1,7,1.0,3,2,8,0,1,2,4,1,3,4,1,685.8,2
6450,1,5,1,2,9,2,0,2,2,1.0,3,2,8,4,4,2,1,2,10,3,0,607.6,3
6451,3,7,4,6,2,2,0,2,6,2.0,10,2,6,10,6,2,5,3,3,3,0,615.4,4
6452,3,2,4,10,10,6,5,1,0,6.0,7,0,8,10,1,1,10,10,10,3,0,679.8,5
6453,1,0,4,10,9,4,3,1,7,3.0,1,5,6,0,1,2,5,1,10,2,0,678.2,2
6454,3,0,6,0,2,2,0,2,2,0.0,6,0,5,0,7,1,4,1,6,3,0,568.5,5
6455,3,6,6,2,6,1,0,2,5,0.0,2,2,8,0,1,2,3,2,2,3,1,627.8,1
6456,3,1,2,5,2,1,1,2,1,4.0,2,3,10,0,4,2,4,2,0,2,1,609.5,2
6457,5,10,7,2,10,2,5,1,6,4.0,10,1,7,0,0,2,10,2,5,2,1,717.6,3
6458,3,9,5,8,10,6,5,2,6,4.0,10,5,8,10,5,2,10,5,7,3,1,704.2,1
6459,1,4,4,2,3,5,1,1,5,2.0,5,5,5,0,9,1,5,5,10,2,0,622.7,5
6460,2,5,6,5,8,5,5,2,4,3.0,8,5,7,0,1,2,8,8,6,2,1,698.5,1
6461,2,3,10,10,10,7,5,1,8,5.0,7,10,7,0,1,2,10,5,7,4,1,751.0,1
6462,4,10,5,10,10,10,5,1,10,7.0,8,10,4,0,1,2,10,5,7,4,0,765.9,2
6463,1,1,2,3,2,2,3,2,7,4.0,5,0,5,4,0,2,2,3,10,2,0,614.2,5
6464,2,2,7,10,4,10,1,2,7,6.0,7,10,7,4,3,1,2,1,3,3,1,647.3,3
6465,1,5,8,3,5,2,0,2,1,3.0,6,5,5,0,10,2,6,5,2,3,1,621.2,2
6466,1,5,10,4,10,1,5,2,4,1.0,2,5,5,0,1,2,10,2,7,3,0,666.3,3
6467,5,0,3,0,10,2,0,2,10,7.0,10,5,8,0,0,2,2,2,0,2,1,658.3,2
6468,4,4,10,7,10,8,4,2,6,7.0,5,2,6,0,2,1,6,3,6,2,1,685.8,1
6469,4,4,6,6,8,3,0,1,8,4.0,8,7,5,0,10,2,8,10,10,2,0,694.7,4
6470,5,4,0,1,7,6,5,2,10,8.0,10,10,8,10,0,2,10,10,4,1,0,714.4,0
6471,4,6,6,3,8,6,5,2,4,3.0,5,4,5,0,3,2,10,2,6,3,0,677.1,3
6472,5,7,7,10,5,4,5,2,7,5.0,6,10,8,1,3,2,6,5,7,4,1,718.7,1
6473,4,7,8,8,7,8,2,1,9,8.0,9,5,9,5,5,2,8,8,7,4,0,729.7,3
6474,4,6,4,9,7,0,5,2,7,1.0,1,0,8,1,2,2,1,0,4,4,1,649.7,1
6475,2,2,8,4,5,1,3,2,4,2.0,2,1,7,0,1,2,5,1,10,3,1,636.1,4
6476,2,4,3,8,6,5,3,2,7,3.0,10,1,7,10,0,2,5,4,10,4,1,661.5,3
6477,4,8,4,5,1,3,0,1,3,2.0,5,3,6,0,2,2,8,1,10,3,1,663.7,3
6478,1,6,3,2,10,1,0,2,8,2.0,5,5,6,10,3,2,4,2,3,2,0,614.4,3
6479,3,10,5,10,5,2,5,2,7,6.0,8,6,7,7,3,1,8,7,8,3,0,678.1,4
6480,0,2,3,4,2,1,3,1,3,1.0,5,1,8,7,0,2,0,0,5,2,0,614.8,2
6481,4,10,3,4,10,3,3,2,9,2.0,3,5,7,0,1,2,10,1,2,3,0,668.6,5
6482,3,8,6,4,4,0,2,1,4,0.0,2,0,8,4,1,2,6,2,10,3,0,653.3,3
6483,4,2,1,4,3,3,3,2,3,1.0,7,1,6,0,5,1,4,2,6,2,1,604.6,4
6484,5,7,3,1,7,2,0,1,4,2.0,10,1,5,0,2,1,1,2,7,3,0,639.0,3
6485,3,7,3,3,5,0,1,1,7,2.0,5,2,8,0,0,1,5,2,10,2,0,660.7,0
6486,3,2,8,4,10,8,5,1,10,2.0,8,10,8,10,1,2,8,3,10,4,1,717.4,3
6487,4,10,3,10,4,0,0,1,1,2.0,4,1,6,0,1,2,3,1,3,4,1,646.5,3
6488,5,4,3,3,10,3,3,2,2,1.0,7,1,7,0,1,2,10,2,5,4,0,667.7,1
6489,4,5,10,5,5,3,1,2,2,0.0,5,0,6,5,1,2,5,0,0,3,1,624.6,2
6490,5,10,10,7,10,3,5,1,9,3.0,5,10,8,0,3,2,6,5,8,4,1,749.1,1
6491,3,10,10,3,3,4,5,2,5,1.0,10,6,7,0,1,2,4,10,10,4,0,710.8,1
6492,3,10,2,5,7,6,5,1,8,3.0,7,3,7,0,1,2,8,2,3,2,0,703.4,2
6493,2,5,2,8,5,3,5,1,5,1.0,2,0,6,2,0,2,10,0,0,3,0,646.1,5
6494,1,3,6,2,6,1,5,2,8,10.0,8,10,7,10,10,2,3,5,4,3,1,647.5,3
6495,2,4,4,4,2,2,1,2,4,3.0,1,1,7,4,3,1,7,2,3,2,1,584.9,5
6496,3,10,10,10,10,5,5,1,7,0.0,10,3,7,5,10,2,3,1,3,3,1,687.0,4
6497,5,4,7,10,5,7,3,1,2,2.0,4,3,7,5,1,2,5,1,7,2,0,679.0,3
6498,4,3,5,8,10,6,5,2,7,2.0,3,0,7,5,1,2,4,1,5,3,1,660.1,3
6499,4,10,7,10,5,10,5,2,8,8.0,3,10,7,0,0,2,10,7,10,4,1,751.9,1
6500,5,8,10,8,10,4,5,2,8,7.0,4,10,7,2,5,2,10,4,10,4,1,731.7,2
6501,3,1,5,2,0,3,0,1,7,5.0,6,10,7,0,0,1,7,4,10,4,1,660.7,3
6502,5,3,0,5,5,2,5,2,6,5.0,1,0,8,6,0,2,3,1,10,4,1,653.1,0
6503,5,10,10,10,3,7,5,1,5,2.0,9,2,7,0,10,2,5,4,7,3,1,708.9,3
6504,2,7,4,2,6,5,1,2,3,7.0,3,1,8,7,2,1,2,4,6,2,1,612.7,3
6505,4,10,2,5,2,5,1,2,9,3.0,2,10,6,0,1,2,5,4,10,4,0,681.8,1
6506,2,6,5,4,6,3,1,2,5,1.0,6,3,8,0,2,2,3,2,10,4,0,652.4,2
6507,3,10,5,2,3,1,5,2,10,2.0,9,0,8,0,1,1,10,1,10,3,1,673.4,1
6508,2,7,6,4,5,6,2,2,8,2.0,4,10,6,1,4,2,2,3,6,4,0,665.2,1
6509,1,4,8,6,6,6,1,2,7,3.0,5,10,7,1,4,2,4,4,4,4,0,663.9,2
6510,1,1,0,1,10,0,2,2,0,1.0,6,0,7,10,1,2,2,1,5,4,0,585.9,3
6511,1,2,3,1,4,4,0,2,2,0.0,3,2,4,6,8,1,5,1,2,3,0,557.5,2
6512,1,2,4,0,5,1,0,1,5,1.0,4,6,5,0,2,1,1,4,3,1,0,608.9,2
6513,4,4,5,3,2,3,2,1,7,5.0,1,10,7,5,2,2,1,5,10,4,1,675.0,1
6514,1,10,2,3,1,3,3,1,2,4.0,5,10,9,10,5,1,1,1,10,2,1,621.8,5
6515,4,10,8,10,5,4,5,2,6,2.0,4,2,8,0,1,2,10,5,8,4,1,711.5,1
6516,3,10,10,10,10,10,5,1,10,10.0,4,10,8,0,1,2,10,10,10,4,1,789.7,2
6517,3,5,4,7,4,2,2,1,6,3.0,10,5,6,0,5,2,7,2,7,3,1,678.3,3
6518,5,10,4,10,3,2,5,2,6,2.0,4,10,8,0,1,2,4,1,5,3,1,682.6,4
6519,1,2,0,9,3,0,1,2,7,3.0,4,0,8,7,6,1,1,1,2,2,1,568.7,4
6520,2,3,5,6,7,2,0,1,7,2.0,10,0,7,2,3,2,8,0,2,3,1,656.4,2
6521,3,4,2,10,5,2,0,1,4,5.0,8,6,5,4,3,2,10,10,3,2,0,674.3,4
6522,3,4,6,10,7,3,5,2,8,2.0,4,0,7,0,0,2,10,1,4,4,1,679.0,2
6523,1,1,7,0,5,2,0,1,2,1.0,1,0,4,0,3,2,0,0,6,3,1,603.0,2
6524,5,9,4,10,10,6,5,1,10,10.0,10,5,7,0,2,2,10,5,10,3,1,758.4,5
6525,1,2,5,3,6,1,5,1,6,2.0,5,0,6,0,1,2,3,1,2,2,1,646.7,2
6526,5,6,1,5,2,2,5,1,5,2.0,5,1,7,0,2,2,4,4,10,3,1,675.8,3
6527,2,2,2,2,8,3,5,2,3,5.0,1,10,8,8,3,2,1,8,3,3,0,642.9,1
6528,4,10,6,6,8,2,5,1,3,3.0,8,4,6,1,2,2,6,3,5,3,1,701.7,2
6529,3,7,8,7,4,7,3,1,6,6.0,9,1,8,7,3,2,2,2,8,4,1,685.3,3
6530,4,3,10,7,5,8,5,1,7,4.0,8,3,7,2,2,2,10,4,6,3,0,720.6,2
6531,5,3,10,6,10,3,5,2,9,5.0,3,1,8,0,0,2,3,3,7,4,1,694.3,2
6532,2,1,3,6,10,2,5,2,10,3.0,1,5,8,0,0,1,9,1,7,3,1,661.6,1
6533,1,3,1,2,10,1,0,2,6,2.0,3,0,6,10,8,1,5,1,7,4,0,564.7,5
6534,2,9,7,2,8,0,0,1,3,2.0,4,4,6,0,2,2,7,2,4,2,0,651.6,4
6535,5,3,2,7,4,4,1,1,4,3.0,6,4,7,3,1,2,8,4,8,3,0,682.8,1
6536,3,6,8,3,10,5,5,1,7,7.0,8,0,7,6,2,2,9,0,1,4,0,684.9,4
6537,3,2,1,10,10,0,3,2,3,4.0,6,0,6,0,10,2,5,3,10,3,1,635.0,5
6538,5,6,7,10,10,10,5,1,8,8.0,5,10,8,3,0,2,10,5,10,3,0,771.2,1
6539,2,10,4,2,1,10,4,1,10,1.0,6,5,8,0,0,2,10,4,10,3,1,722.1,0
6540,5,6,2,5,9,4,1,1,3,6.0,9,10,6,1,1,2,1,3,6,4,1,686.6,4
6541,1,2,2,2,3,2,0,2,8,3.0,3,3,6,10,5,2,7,6,7,3,0,612.3,1
6542,0,3,5,6,2,3,4,2,7,5.0,5,5,5,2,5,2,7,3,5,3,1,648.2,1
6543,0,2,2,2,9,1,2,2,1,1.0,3,1,9,10,10,2,6,2,10,3,1,595.9,2
6544,1,7,3,2,10,2,0,1,10,0.0,10,0,8,0,1,2,5,1,0,2,1,654.9,3
6545,3,5,1,6,3,3,5,2,2,1.0,7,0,6,0,1,2,10,1,10,4,1,655.6,3
6546,2,5,8,7,6,2,4,2,9,4.0,6,10,5,0,1,2,5,4,10,4,1,702.8,0
6547,3,6,5,3,4,7,1,2,5,6.0,6,3,8,0,1,2,5,3,6,4,1,662.6,3
6548,5,4,6,5,10,7,4,2,6,7.0,1,10,6,0,3,2,6,7,5,3,1,700.3,2
6549,5,10,6,10,3,5,2,2,6,2.0,10,3,7,0,3,2,10,3,5,2,1,692.1,3
6550,4,5,2,2,3,2,2,1,3,3.0,10,5,9,0,1,1,6,3,10,1,0,670.4,1
6551,3,2,2,10,2,1,1,1,6,3.0,8,3,5,10,1,1,3,2,1,3,0,616.5,2
6552,2,3,1,1,1,3,0,2,6,2.0,10,2,7,3,0,2,4,2,2,4,1,620.7,1
6553,2,10,5,6,8,7,1,2,8,4.0,5,2,7,0,2,2,7,6,6,3,1,677.5,4
6554,1,2,5,10,10,4,5,1,8,1.0,2,1,7,0,9,2,4,4,10,2,0,670.1,4
6555,5,10,8,1,10,2,5,1,1,3.0,6,0,10,0,10,1,1,0,10,2,1,656.2,4
6556,5,5,5,10,6,2,5,1,6,1.0,5,1,8,4,4,2,8,1,7,4,0,681.1,4
6557,4,9,10,10,9,5,4,1,7,4.0,8,5,7,0,6,2,9,2,10,2,1,729.1,4
6558,2,7,5,10,3,7,2,1,3,3.0,10,2,7,5,0,1,7,5,9,4,0,678.5,2
6559,5,6,8,10,6,6,5,2,8,5.0,10,5,6,0,2,2,10,8,7,4,0,739.5,0
6560,2,9,5,8,2,3,3,2,0,0.0,1,0,10,0,2,1,9,1,9,4,1,626.3,4
6561,4,3,4,6,3,5,1,2,4,3.0,2,10,6,0,4,2,2,4,2,3,1,634.2,4
6562,5,10,10,10,5,6,5,2,5,4.0,4,2,7,0,10,1,2,4,10,3,1,663.7,5
6563,1,5,3,0,4,5,2,2,0,1.0,10,0,7,0,3,1,4,1,1,2,0,595.2,3
6564,2,6,6,3,1,1,5,1,5,5.0,5,5,7,10,0,1,5,2,10,2,0,650.3,2
6565,1,2,3,10,8,0,5,2,0,0.0,3,1,8,0,10,1,2,0,1,3,1,583.8,4
6566,3,9,2,3,5,4,2,2,6,2.0,5,3,7,5,10,2,6,3,5,3,1,633.3,2
6567,3,6,3,5,3,3,5,2,4,1.0,3,1,5,0,1,2,4,0,9,4,1,641.0,3
6568,1,1,9,1,3,2,0,2,0,2.0,5,2,9,0,5,2,0,4,7,2,0,604.8,4
6569,3,10,2,10,3,8,5,1,1,1.0,10,1,5,0,4,2,6,5,3,3,0,678.1,5
6570,2,10,3,10,2,3,5,1,7,5.0,7,2,7,2,2,2,7,2,5,4,1,689.8,3
6571,3,0,4,10,4,3,5,2,5,1.0,5,10,4,10,10,1,4,1,3,3,1,597.0,5
6572,5,3,2,7,2,2,2,1,3,2.0,4,3,8,3,8,1,5,4,6,2,1,624.8,4
6573,4,4,8,3,7,3,5,1,7,1.0,9,0,6,0,3,2,1,1,6,3,1,681.5,1
6574,4,3,10,6,10,1,1,1,10,1.0,10,2,7,0,0,2,4,6,10,4,1,710.8,2
6575,1,1,0,3,1,3,0,1,2,4.0,4,2,8,5,4,1,5,1,3,2,1,580.6,5
6576,2,5,10,10,10,6,5,2,5,3.0,9,2,6,7,0,2,3,1,10,3,0,681.5,4
6577,2,7,4,10,6,4,5,1,4,5.0,5,10,6,0,2,2,8,7,10,4,1,723.2,2
6578,1,4,3,3,10,2,5,2,3,1.0,6,0,8,2,0,2,5,5,10,2,0,659.2,2
6579,4,3,3,3,5,5,1,1,7,5.0,3,5,7,1,1,2,3,3,6,1,1,665.2,3
6580,4,9,0,10,10,0,5,2,3,3.0,10,0,5,3,8,2,10,4,10,4,1,667.9,5
6581,5,10,10,10,10,2,3,2,6,2.0,2,2,7,0,2,2,10,2,8,2,0,700.7,2
6582,2,2,3,7,4,7,1,2,4,1.0,8,2,6,4,3,2,5,1,6,4,1,626.9,4
6583,2,4,2,4,10,1,1,2,2,1.0,5,1,6,0,0,2,5,1,4,4,1,624.6,3
6584,2,4,3,4,4,2,5,2,3,2.0,7,5,5,0,3,2,1,4,5,2,0,645.2,1
6585,4,5,10,10,10,6,5,2,6,1.0,8,4,8,0,4,2,6,10,7,3,0,708.9,5
6586,4,10,10,10,8,10,5,1,8,1.0,4,10,8,0,0,2,8,3,10,4,1,760.8,1
6587,2,4,4,1,5,1,0,1,5,3.0,10,0,6,0,0,2,6,2,4,2,0,647.7,3
6588,2,10,10,7,10,10,5,1,8,3.0,5,2,8,3,2,2,10,2,10,2,1,730.4,3
6589,4,4,10,10,3,3,3,1,7,10.0,3,1,9,0,2,2,1,10,10,3,1,718.3,1
6590,3,10,1,8,3,7,0,1,10,1.0,10,1,8,0,8,1,5,1,10,2,1,668.5,1
6591,4,3,3,3,5,1,2,2,6,2.0,8,3,8,0,1,2,3,1,7,3,0,652.8,1
6592,2,7,3,2,7,3,2,1,3,3.0,4,0,3,8,3,2,4,7,7,1,1,640.8,2
6593,5,10,10,10,2,3,5,1,7,1.0,6,0,7,5,5,2,7,1,10,3,1,703.2,1
6594,4,6,4,10,4,10,5,2,5,3.0,3,7,7,8,1,2,6,9,2,4,1,673.7,5
6595,1,0,3,0,6,3,1,2,7,3.0,1,0,5,0,0,2,3,4,4,2,1,608.3,3
6596,3,5,4,2,10,5,5,1,7,6.0,7,5,6,10,2,2,4,2,6,1,1,677.7,3
6597,3,2,3,1,5,8,0,1,5,1.0,4,0,9,2,1,2,2,3,10,2,0,652.2,2
6598,4,2,5,3,8,2,5,2,6,6.0,10,8,6,0,5,1,8,4,10,4,0,678.3,2
6599,2,1,2,2,3,0,1,1,4,0.0,7,0,7,0,7,1,3,0,5,2,1,592.9,3
6600,0,1,3,10,8,2,2,1,2,2.0,2,1,4,0,2,1,2,5,4,2,0,616.8,3
6601,3,10,6,5,10,3,2,2,7,3.0,6,10,6,7,1,2,10,1,7,2,0,686.0,2
6602,1,5,5,6,7,7,3,1,6,7.0,4,4,7,4,4,1,6,5,7,2,1,668.8,2
6603,4,7,7,8,6,6,1,1,9,4.0,6,5,7,0,4,2,4,1,7,2,1,701.5,1
6604,5,10,6,7,4,3,0,2,4,2.0,8,4,6,0,1,2,3,6,1,2,1,660.9,3
6605,3,5,10,10,8,5,5,2,5,6.0,4,10,6,2,8,2,10,8,7,2,0,699.2,5
6606,3,8,4,10,10,7,5,2,3,1.0,5,5,4,0,5,2,10,2,10,3,1,682.0,5
6607,5,5,4,10,5,6,5,1,4,2.0,7,5,7,0,7,2,5,3,10,4,1,703.4,2
6608,3,5,3,5,5,5,5,2,5,1.0,6,0,6,10,0,1,6,0,2,4,1,612.9,3
6609,4,10,1,2,2,2,1,1,8,2.0,2,1,7,7,10,2,1,1,10,3,0,617.4,5
6610,5,8,4,1,7,3,0,2,3,2.0,6,5,7,0,8,2,4,4,3,3,1,636.9,3
6611,2,10,10,5,10,8,5,1,8,8.0,5,10,7,10,1,2,10,10,7,4,0,745.5,2
6612,2,4,4,5,4,3,2,1,5,3.0,6,4,6,2,2,1,5,2,2,4,1,636.7,2
6613,2,0,1,2,2,0,0,2,7,1.0,4,1,9,0,7,2,2,0,0,2,0,577.4,4
6614,0,4,4,6,10,0,3,1,3,6.0,5,0,7,3,1,2,6,1,4,2,0,655.4,2
6615,2,2,10,7,2,9,0,2,2,7.0,3,4,5,0,5,2,10,2,2,4,1,647.8,2
6616,3,2,5,3,1,3,5,1,0,5.0,1,1,8,0,4,2,3,5,1,2,1,637.8,3
